,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
74,270,325,0.00256641,3.399637242825624e-08,1.7221903618630042e-05,55966.999999999956,0.001974019433686772
75,280,325,0.00266564,4.0653331447995716e-08,3.5734212021418794e-05,27392.999999999978,0.0011376585392068655
76,290,325,0.00276558,4.845243492582133e-08,6.532410124235962e-05,15095.999999999985,0.0007417237130604745
77,300,325,0.00286649,5.7590709144412526e-08,0.000117474732867225,8434.000000000004,0.0004902391155850001
78,50,350,0.00048182,1.0258512298580863e-10,3.288369121147791e-18,inf,
79,60,350,0.0005734,1.5519805121682437e-10,4.638837186984235e-17,inf,
80,70,350,0.00066554,2.2912206837583513e-10,4.936919923504293e-16,inf,
81,80,350,0.00075814,3.307193063708714e-10,4.217595115465811e-15,inf,
82,90,350,0.00085117,4.678165193264547e-10,3.01917119468766e-14,inf,
83,100,350,0.00094459,6.498678111797187e-10,1.867397628483038e-13,inf,
84,110,350,0.0010384,8.883079761735222e-10,1.0208489973954755e-12,inf,
85,120,350,0.00113258,1.196742883477459e-09,5.018487835942554e-12,inf,
86,130,350,0.00122712,1.5913295806015341e-09,2.248831103068895e-11,inf,
87,140,350,0.00132202,2.0911730975909776e-09,9.286008579182546e-11,inf,
88,150,350,0.00141727,2.7186432338703075e-09,3.5648047879293515e-10,inf,
89,160,350,0.00151286,3.499836817165774e-09,1.2815198382804212e-09,inf,
90,170,350,0.00160879,4.465164068109544e-09,4.34112959228604e-09,inf,
91,180,350,0.00170508,5.6501254337425356e-09,1.3930497602935028e-08,inf,
92,190,350,0.00180174,7.095715456905959e-09,4.254161517842796e-08,inf,
93,200,350,0.00189875,8.848629296599932e-09,1.2411684346965913e-07,inf,
94,210,350,0.00199613,1.0963142804887796e-08,3.471460198197707e-07,inf,
95,220,350,0.00209386,1.3500469662955245e-08,9.33590319573441e-07,840267.0,0.014460807251218752
96,230,350,0.00219195,1.6531098915134392e-08,2.420521000426835e-06,365682.9999999999,0.006829562276972311
97,240,350,0.0022904,2.013496511827501e-08,6.063364783091207e-06,155136.99999999994,0.0033207576714541424
98,250,350,0.0023892,2.4402268473496462e-08,1.4703215783460617e-05,65933.99999999994,0.001659655196038552
99,260,350,0.0024886,2.9449088555485182e-08,3.456516313606598e-05,28470.000000000007,0.0008519875471022271
100,270,350,0.00258884,3.541333427262137e-08,7.8744027182925e-05,12592.000000000007,0.0004497272433165631
101,280,350,0.0026904,4.247779196724904e-08,0.000158028847076175,6296.0,0.0002687977084764364
102,290,350,0.00279334,5.083302810153415e-08,0.00027738472032375,3593.000000000001,0.00018325821278909776
103,300,350,0.00289766,6.069551335795678e-08,0.00047841065671785,2086.0000000000027,0.00012686906636729224
104,50,375,0.00048724,1.052124837932032e-10,6.830978260486488e-17,inf,
105,60,375,0.00057938,1.5929818491743477e-10,8.338271479004235e-16,inf,
106,70,375,0.00067211,2.3534907644082453e-10,7.802915810662914e-15,inf,
107,80,375,0.00076533,3.399581418694361e-10,5.937414589012107e-14,inf,
108,90,375,0.000859,4.812301813836582e-10,3.8246486207741405e-13,inf,
109,100,375,0.00095307,6.689525356248043e-10,2.1466069450288385e-12,inf,
110,110,375,0.00104754,9.149831625023924e-10,1.0724106486674894e-11,inf,
111,120,375,0.00114238,1.2334051695388294e-09,4.847424716514217e-11,inf,
112,130,375,0.00123758,1.6409693424573296e-09,2.0079228183512406e-10,inf,
113,140,375,0.00133314,2.15748960760945e-09,7.700312243824901e-10,inf,
114,150,375,0.00142906,2.806249700302605e-09,2.7571051672816467e-09,inf,
115,160,375,0.00152535,3.6145735071091878e-09,9.281965282976872e-09,inf,
116,170,375,0.00162201,4.6142317124808e-09,2.9551812927290396e-08,inf,
117,180,375,0.00171903,5.8419411026951916e-09,8.942047820392588e-08,inf,
118,190,375,0.00181642,7.340376692415137e-09,2.582421130136872e-07,inf,
119,200,375,0.00191417,9.158373340912151e-09,7.144348481168487e-07,inf,
120,210,375,0.00201227,1.1351854038057559e-08,1.8994709164543817e-06,472778.9999999999,0.005976324217296953
121,220,375,0.00211073,1.3985219999446197e-08,4.865993249968072e-06,194867.0,0.002874073037305993
122,230,375,0.00220962,1.7134159779630407e-08,1.2041679312681477e-05,80858.99999999997,0.0014229045081433015
123,240,375,0.00230924,2.0895641888291272e-08,2.884484607093348e-05,34198.000000000015,0.0007244150943605658
124,250,375,0.00241,2.5392401631802787e-08,6.692347617191961e-05,14835.999999999993,0.00037942442748449415
125,260,375,0.00251215,3.076704668556095e-08,0.00014996858935650002,6643.0,0.00020515660524366615
126,270,375,0.00261569,3.717549599645677e-08,0.00032227618112445,3097.000000000002,0.00011535291211019128
127,280,375,0.00272059,4.479658310827084e-08,0.000626577037071225,1594.0000000000014,7.149413473187762e-05
