,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
0,50,275,0.00045181,4.491123767944989e-242,5.437188331408728e-21,inf,
1,60,275,0.00053479,1.0991781406502603e-202,5.612185130505508e-20,inf,
2,70,275,0.00061833,1.706451945479958e-172,4.947982713119926e-19,inf,
3,80,275,0.00070237,1.1463392787009312e-148,3.842949777891946e-18,inf,
4,90,275,0.00078683,1.9301097876669597e-129,2.6820582525634452e-17,inf,
5,100,275,0.00087171,1.2214437658235899e-113,1.7053822686861602e-16,inf,
6,110,275,0.00095697,1.828640957403809e-100,9.980076893911286e-16,inf,
7,120,275,0.0010426,2.4154833119323355e-89,5.4177634149586125e-15,inf,
8,130,275,0.00112861,7.389756616700924e-80,2.745621058496366e-14,inf,
9,140,275,0.00121536,1.1543715491656816e-71,1.3079862437856892e-13,inf,
10,150,275,0.00130306,1.6037486529609162e-64,5.892830474954354e-13,inf,
11,160,275,0.00139166,2.9082248897905204e-58,2.5198464488486405e-12,inf,
12,170,275,0.00148115,9.421217445112935e-53,1.0256820446636052e-11,inf,
13,180,275,0.0015715,7.010230047016526e-48,3.98471670149555e-11,inf,
14,190,275,0.00166271,1.4769065847680233e-43,1.4811623883277562e-10,inf,
15,200,275,0.00175477,1.045676275957352e-39,5.279737074801231e-10,inf,
16,210,275,0.00184769,2.8742863244857233e-36,1.808554626403587e-09,inf,
17,220,275,0.00194145,3.45318522811498e-33,5.9647484432672155e-09,inf,
18,230,275,0.00203603,2.0048987025769634e-30,1.897382952132859e-08,inf,
19,240,275,0.00213086,5.940508074143652e-28,5.820466927690283e-08,inf,
20,250,275,0.00222541,9.514165812169678e-26,1.72043558708436e-07,inf,
21,260,275,0.00231966,8.911972458641133e-24,4.90568443566652e-07,inf,
22,270,275,0.00241364,5.229846873700798e-22,1.3516964440392874e-06,739812.0,3.8690986402778394e-16
23,280,275,0.00250737,2.036809224991554e-20,3.604536079760755e-06,277429.0,5.650683416454369e-15
24,290,275,0.00260089,5.532794047682036e-19,9.317833004417895e-06,107321.99999999997,5.93785491225133e-14
25,300,275,0.00269423,1.0932954039249654e-17,2.337836902668131e-05,42774.999999999985,4.676525563768829e-13
26,50,300,0.00045587,7.296645331744982e-240,1.6729668511698484e-19,inf,
