,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
0,50,275,0.0004703,5.272297113054709e-08,2.4326488403535746e-16,inf,
1,60,275,0.00055789,1.5494501164542914e-08,2.570802558618453e-15,inf,
2,70,275,0.00064636,7.578034694224398e-09,2.1188119925397188e-14,inf,
3,80,275,0.00073558,5.088793041086549e-09,1.4357616049652093e-13,inf,
4,90,275,0.00082551,4.194844572384525e-09,8.298271513568997e-13,inf,
5,100,275,0.0009161,3.963865994435213e-09,4.20111546822383e-12,inf,
6,110,275,0.00100734,4.1097445394700004e-09,1.9005400574736584e-11,inf,
7,120,275,0.00109919,4.541940950643357e-09,7.802056029422597e-11,inf,
8,130,275,0.00119166,5.246651366935958e-09,2.941914052207782e-10,inf,
9,140,275,0.00128471,6.2487848178315245e-09,1.0289009865823117e-09,inf,
10,150,275,0.00137837,7.60022060058794e-09,3.3648498845575297e-09,inf,
11,160,275,0.00147273,2.7128158546323857e-08,9.539637433869934e-09,inf,
12,170,275,0.0015679,3.745846046354657e-08,1.8153192695767337e-08,inf,
13,180,275,0.00166393,5.1953940349572334e-08,3.392294700663129e-08,inf,
14,190,275,0.00176072,7.208690107909715e-08,6.229881910939195e-08,inf,
15,200,275,0.00185812,9.974060147587611e-08,1.1233790941652506e-07,990095.9999999998,0.8878623609244782
16,210,275,0.00195619,1.3737726523004018e-07,1.9948290242265158e-07,696437.9999999998,0.6886668659902193
17,220,275,0.00205503,1.8815916061605697e-07,3.4908776159102776e-07,489592.0000000001,0.5390024553094875
18,230,275,0.00215501,2.563093859992634e-07,6.02601913896356e-07,343715.99999999977,0.4253378226796457
19,240,275,0.00225608,3.4691714377594454e-07,1.0293025577543962e-06,240874.00000000006,0.3370409809656016
20,250,275,0.00235825,4.663193186244287e-07,1.740886603581392e-06,168413.99999999994,0.26786312081735014
21,260,275,0.00246099,6.213590185229444e-07,2.913481517534972e-06,117568.99999999991,0.21327027982956334
22,270,275,0.00256422,8.204959710312884e-07,4.817271710321651e-06,81956.00000000003,0.17032378914256915
23,280,275,0.00266824,1.0745711325566118e-06,7.866869739413084e-06,57020.0,0.13659449922921707
24,290,275,0.00277285,1.3951425851478788e-06,1.2665918027427482e-05,39648.000000000015,0.11014934583713235
25,300,275,0.00287834,1.7971514073692663e-06,2.011845113037694e-05,27554.000000000007,0.08932851717673927
26,50,300,0.0004765,4.722495083575651e-08,3.874164313373538e-15,inf,
27,60,300,0.00056536,1.4346936372901455e-08,3.570058448638963e-14,inf,
28,70,300,0.00065508,7.202576900392582e-09,2.601601267413707e-13,inf,
29,80,300,0.00074557,4.937678217913703e-09,1.5763552616383699e-12,inf,
30,90,300,0.00083675,4.13896695115002e-09,8.223282197740218e-12,inf,
31,100,300,0.00092861,3.964823849070918e-09,3.787581802243662e-11,inf,
32,110,300,0.00102109,4.1572946365649665e-09,1.5695206922204587e-10,inf,
33,120,300,0.00111419,4.637721460740803e-09,5.937256245237237e-10,inf,
34,130,300,0.00120794,1.175543339899917e-08,2.0743483622210417e-09,inf,
35,140,300,0.0013025,1.5568199910180873e-08,6.759578331652029e-09,inf,
36,150,300,0.0013979,2.1142905534186664e-08,2.0703713403941574e-08,inf,
37,160,300,0.00149414,2.915963758479541e-08,5.0075849627483436e-08,inf,
38,170,300,0.00159103,4.053013061353971e-08,9.056377515148937e-08,inf,
39,180,300,0.00168855,5.648619285028776e-08,1.613684443755262e-07,inf,
40,190,300,0.00178679,7.867684386287889e-08,2.833115408276501e-07,inf,
41,200,300,0.00188586,1.092768648903048e-07,4.908119820695519e-07,678286.9999999995,0.22264506345083365
42,210,300,0.00198631,1.5133473547124566e-07,8.391567918199446e-07,454303.9999999999,0.1803414295712655
43,220,300,0.00208771,2.0837835443317014e-07,1.4240177128637018e-06,303084.0000000001,0.14633129388125443
44,230,300,0.00218987,2.8483636540251577e-07,2.389943522613929e-06,201879.0,0.11918121190202208
45,240,300,0.00229246,3.8590435326020063e-07,3.966650475906532e-06,134413.0,0.09728720884388149
46,250,300,0.00239578,5.184944929352012e-07,6.5025039751604565e-06,89533.99999999997,0.07973766643063171
47,260,300,0.00249974,6.905428002898856e-07,1.0526300431984568e-05,59732.99999999997,0.06560166173783571
48,270,300,0.00260459,9.121707090412634e-07,1.6780973496744976e-05,40016.0,0.05435743696384468
49,280,300,0.00271004,1.1941743354457095e-06,2.6439945236465545e-05,26890.999999999978,0.045165537400536054
50,290,300,0.00281628,1.550295813239945e-06,4.116316885847478e-05,18143.999999999985,0.03766220765388829
