,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
149,240,400,0.00244942,6.019072695330232e-07,0.00037222603074795,2648.9999999999964,0.0016170477608015547
150,250,400,0.00255986,8.110877227641619e-07,0.000524558282442375,1880.9999999999995,0.0015462299422433832
151,260,400,0.0026714,1.0832402017704443e-06,0.0007070684619076501,1395.9999999999995,0.0015320160071174635
152,270,400,0.00278419,1.4343255978851219e-06,0.0008899721139838501,1108.0000000000005,0.001611652292637059
153,280,400,0.00289824,1.8829948951699671e-06,0.001011842890642425,972.9999999999998,0.001860955799150244
154,290,400,0.00300625,2.4113042798291335e-06,0.00173938341814545,568.0000000000008,0.0013862983024180448
155,300,400,0.00313391,3.1896242539687983e-06,0.0031918105539768746,310.99999999999955,0.0009993150282665265
156,50,425,0.00050872,1.2424865522686696e-07,2.3755670181646757e-10,inf,
157,60,425,0.00060518,2.577478364355386e-08,1.3241193365288752e-09,inf,
158,70,425,0.00070275,1.1265815148227725e-08,6.129057183708324e-09,inf,
159,80,425,0.00080151,7.691745456680384e-09,2.4578383613059296e-08,inf,
160,90,425,0.00090139,6.93593742488852e-09,8.793773321271667e-08,inf,
161,100,425,0.00100189,7.465057426810834e-09,2.855790609383406e-07,inf,
162,110,425,0.00110298,8.99472577406683e-09,8.54113430717305e-07,inf,
163,120,425,0.00120482,1.1653196638915537e-08,2.381794818807165e-06,402143.9999999999,0.004892611465479472
164,130,425,0.00130755,1.5815141782449423e-08,6.252571861184614e-06,156375.0,0.0025293818501516724
165,140,425,0.00141115,2.2087170484516798e-08,1.5558973110751713e-05,63460.999999999985,0.001419577649970608
166,150,425,0.00151564,3.136117351873987e-08,2.867187957884905e-05,34537.999999999985,0.0010937955229790616
167,160,425,0.00162097,4.4884454087896595e-08,4.411158171756478e-05,22464.999999999985,0.0010175208491792543
168,170,425,0.001727,6.434160173418638e-08,6.727863713264072e-05,14736.999999999993,0.0009563452007408543
169,180,425,0.00183347,9.192488823726829e-08,0.000101646252168825,9759.0,0.0009043608227147379
170,190,425,0.00194049,1.3058055516976313e-07,0.000152310325877475,6516.0000000000055,0.0008573322551670448
171,200,425,0.00204811,1.841128901528072e-07,0.00022538018977005,4405.000000000002,0.0008168991708661403
172,210,425,0.00215667,2.57607501952987e-07,0.00032806793818065,3027.0000000000027,0.0007852260826875923
173,220,425,0.00226641,3.576161096693085e-07,0.000465897832440525,2131.999999999998,0.0007675848324856944
174,230,425,0.00237723,4.92099784895863e-07,0.000636847034252025,1560.0,0.000772712689906506
175,240,425,0.00248932,6.713121674767764e-07,0.000819153897861675,1212.0,0.0008195189807790385
176,250,425,0.00260261,9.074773340662258e-07,0.000964996415862975,1028.0000000000005,0.0009403945125067525
177,260,425,0.00271698,1.2150915440136557e-06,0.0010160680506596251,973.9999999999983,0.0011958761455247273
178,270,425,0.00283226,1.6109419833540672e-06,0.000986943284802075,999.0000000000006,0.0016322538570968958
179,280,425,0.00294199,2.2262720714319033e-05,0.002252270857768875,408.0000000000015,0.009884566342243908
180,290,425,0.00307562,2.9409039256708838e-05,0.003912089374213425,239.99999999999866,0.007517476326220665
181,300,425,0.00322471,3.921931175680169e-05,0.0058021056031058995,162.9999999999985,0.0067594963690091004
182,50,450,0.0005165,1.0521256399245567e-07,1.4102430714053825e-09,inf,
183,60,450,0.00061502,2.305895263148073e-08,7.306828112108601e-09,inf,
184,70,450,0.00071441,1.0562180485617983e-08,3.1658081166138036e-08,inf,
185,80,450,0.00081453,7.488982214027427e-09,1.1919592528015217e-07,inf,
186,90,450,0.00091546,6.945922512250864e-09,4.011959395859943e-07,inf,
187,100,450,0.00101732,7.63441691404143e-09,1.2323011300828124e-06,768633.9999999995,0.006195252708669014
188,110,450,0.00112014,9.357464211192918e-09,3.504506261589682e-06,278650.99999999977,0.0026701234104653223
189,120,450,0.00122387,1.2299015621719602e-08,9.328004804779946e-06,105947.0,0.0013185044260930507
190,130,450,0.00132849,1.689226213110681e-08,2.342065000724277e-05,42421.999999999985,0.0007212550516694851
191,140,450,0.00143388,2.3817990555072488e-08,5.573130473489338e-05,17874.999999999985,0.0004273718454712589
192,150,450,0.00153989,3.405270296782843e-08,9.00528061236e-05,11067.0,0.00037814149756855046
193,160,450,0.00164629,4.892737487942272e-08,0.00013484434436115,7392.0,0.0003628433592170676
194,170,450,0.00175332,7.031432367291968e-08,0.00019953869364345,4996.0000000000055,0.00035238440419261413
195,180,450,0.00186122,1.0076639374427329e-07,0.00029135955510375,3422.000000000001,0.0003458489415539898
196,190,450,0.00197025,1.4373856393119453e-07,0.000415835422388925,2397.999999999998,0.00034566214466635284
197,200,450,0.00208033,2.0364792308191318e-07,0.000574097726505975,1737.0,0.0003547269283251441
198,210,450,0.00219168,2.863921335464667e-07,0.000751541080818075,1326.999999999999,0.00038107315868178527
199,220,450,0.00230421,3.9929833019752476e-07,0.0009117469074246751,1092.9999999999995,0.0004379486532346842
200,230,450,0.00241792,5.516117765842099e-07,0.0009915255839883,1004.0000000000008,0.0005563263172347139
201,240,450,0.00253261,7.543685808321307e-07,0.000982947340671675,1010.9999999999987,0.0007674557421526262
202,250,450,0.00264799,1.020413960019435e-06,0.0009346329724199249,1060.000000000001,0.0010917803995052822
203,260,450,0.00275892,1.4680727854956014e-05,0.0006898139685606,1217.0,0.021282155079563766
204,270,450,0.00287659,1.9279460322592364e-05,0.002763393442978275,340.99999999999875,0.006976733758843161
205,280,450,0.00301578,2.602713034378217e-05,0.0045711754262506505,209.00000000000094,0.005693750057002303
206,290,450,0.00316885,3.5303189340972125e-05,0.006492796940811525,146.99999999999855,0.005437285296736791
207,300,450,0.00332911,4.7357109212737426e-05,0.0082730750705103,114.99999999999869,0.005724245073218747
208,50,475,0.00052449,8.944598779262746e-08,7.512924035090257e-09,inf,
209,60,475,0.0006241,2.0940483871605015e-08,3.616082706390307e-08,inf,
210,70,475,0.00072483,1.0020496477094567e-08,1.467486257294982e-07,inf,
211,80,475,0.00082663,7.334535772695033e-09,5.216995015536482e-07,inf,
212,90,475,0.00092942,6.977947342552124e-09,1.6669197015473867e-06,578128.0000000002,0.004186132862953482
213,100,475,0.00103316,7.831836248183948e-09,4.8764346169774724e-06,202145.99999999988,0.0016060578810832703
214,110,475,0.00113776,9.7638172578759e-09,1.3242301874634136e-05,75018.00000000003,0.0007373202446455828
215,120,475,0.00124304,1.3002920377745968e-08,3.368387277984408e-05,29586.000000000007,0.0003860280693592549
216,130,475,0.00134885,1.8025921245188348e-08,8.0637373132275e-05,12376.999999999996,0.0002235430116953239
217,140,475,0.00145526,2.558209604109848e-08,0.000179450649287775,5565.999999999998,0.0001425578349403122
218,150,475,0.00156241,3.6764619684205964e-08,0.000261867997638525,3813.9999999999964,0.00014039370986810987
219,160,475,0.00167067,5.3158152274678326e-08,0.00037475953320217497,2664.9999999999964,0.00014184603076127915
220,170,475,0.00178001,7.690995939147588e-08,0.0005207292618197999,1918.0000000000002,0.00014769663437521748
221,180,475,0.00189054,1.1096708088158667e-07,0.000690957382045125,1446.0,0.00016059902356516052
222,190,475,0.00200223,1.5922573132020718e-07,0.0008554522370855251,1167.9999999999986,0.00018613047510715474
223,200,475,0.0021152,2.268843619950003e-07,0.0009602369542736251,1039.999999999999,0.00023627955681691906
224,210,475,0.00222916,3.203574868366389e-07,0.000975002071254975,1023.0000000000003,0.0003285710833663055
225,220,475,0.00234388,4.475968004879923e-07,0.000934763516141625,1066.0,0.0004788342642377769
226,230,475,0.00245898,6.699680792686016e-06,0.0008926004020453499,1050.0,0.00750580077863961
227,240,475,0.00257446,9.212855818099457e-06,0.0008720624124221249,1047.999999999999,0.01056444548792219
228,250,475,0.00268659,1.2301868112669628e-05,0.000624813933563475,1360.000000000001,0.019688850475066876
229,260,475,0.00280769,1.6472281678474573e-05,0.0032056376018790747,299.00000000000136,0.0051385352071047835
230,270,475,0.00295236,2.276563760726359e-05,0.005142621578789775,188.00000000000057,0.004426854525162453
231,280,475,0.00310861,3.1405540561750284e-05,0.007076973742416075,135.999999999999,0.004437707656525578
232,290,475,0.00327118,4.27069256740681e-05,0.008861520086750174,108.99999999999957,0.004819367925140054
233,300,475,,,,0.0,
234,50,500,0.00053192,7.747639554741413e-08,3.610161969381214e-08,inf,
235,60,500,0.00063334,1.9097770178167712e-08,1.6313283948223257e-07,inf,
236,70,500,0.00073593,9.52043538233189e-09,6.249566580213785e-07,inf,
237,80,500,0.00083953,7.201989234715021e-09,2.105513234116134e-06,460759.99999999977,0.00342053857369285
238,90,500,0.00094396,7.0335418699785565e-09,6.396295807121677e-06,154808.99999999988,0.001099627359658283
239,100,500,0.00104907,8.054343346448566e-09,1.78329112195222e-05,55849.999999999956,0.00045165611196624177
240,110,500,0.00115471,1.0188515429736116e-08,4.618178587632957e-05,21611.0,0.0002206176144209752
241,120,500,0.00126105,1.371654492405642e-08,0.000111672930036225,8944.999999999993,0.00012282784126472712
242,130,500,0.00136848,1.92050500503075e-08,0.00024801610154752505,4029.999999999999,7.7434690451448e-05
243,140,500,0.00147714,2.7533999237229652e-08,0.00047673989423587497,2097.0000000000027,5.775476223017063e-05
244,150,500,0.00158682,3.995273124767884e-08,0.000634608645856275,1574.9999999999982,6.295648744868702e-05
245,160,500,0.00169773,5.8272737747056207e-08,0.00079702911665355,1254.0000000000005,7.311243282017514e-05
246,170,500,0.0018098,8.496429447021022e-08,0.000924216466955775,1081.9999999999995,9.193116278275086e-05
247,180,500,0.001923,1.2337476786714382e-07,0.0009606686281398,1039.999999999999,0.00012842593611705813
248,190,500,0.00203705,1.7780964804630033e-07,0.000927356367188025,1076.999999999999,0.00019173820802618024
249,200,500,0.00215178,2.53800320977341e-07,0.00088921510419465,1121.9999999999995,0.00028542061395505025
250,210,500,0.00226665,3.7402864802842953e-06,0.00086469625181955,1113.9999999999995,0.00432554954692326
251,220,500,0.00238228,5.3541293227504555e-06,0.0008583310471297499,1103.999999999999,0.006237837184912055
252,230,500,0.00249858,7.491620242225112e-06,0.0008609904194842501,1078.0000000000014,0.00870116562587623
253,240,500,0.00260479,9.981125466246345e-06,0.00138909804949935,677.0000000000007,0.00718532825659332
254,250,500,0.00273774,1.3950652302749459e-05,0.00364549429891125,265.99999999999943,0.0038268204964456835
255,260,500,0.00288691,1.9729043741982425e-05,0.0056760573059745,170.9999999999985,0.0034758358977834917
256,270,500,0.00304472,2.762480645058584e-05,0.007528287157466625,129.00000000000125,0.003669467685380107
257,280,500,0.00320472,3.778375662045446e-05,0.009194671659755401,105.00000000000134,0.004109310045929317
258,290,500,,,,0.0,
259,300,500,,,,0.0,
260,50,525,0.00054042,6.62765169634333e-08,1.5953655282257564e-07,inf,
261,60,525,0.00064362,1.735332487599447e-08,6.776319339086846e-07,inf,
262,70,525,0.00074771,9.064141415882334e-09,2.4513410610782734e-06,394801.99999999977,0.003697625581278879
263,80,525,0.00085257,7.098258606585834e-09,7.830208862678956e-06,126676.99999999997,0.0009065222564391854
264,90,525,0.00095812,7.1085965900214785e-09,2.2632625371837038e-05,44060.000000000015,0.000314086257039675
265,100,525,0.00106466,8.296260730376718e-09,6.024497348463173e-05,16578.999999999993,0.00013770876225039857
266,110,525,0.00117226,1.0664788299675845e-08,0.00014843006239905,6732.999999999993,7.185059500280924e-05
267,120,525,0.00128095,1.4567630786381733e-08,0.000328589203179075,3043.0000000000027,4.433386929771593e-05
268,130,525,0.00139099,2.0668507792354644e-08,0.0006452946708714749,1549.9999999999995,3.2029565290600775e-05
