,drat,dT,Tf,LTE
0,,100,300,inf
1,,105,300,inf
2,,110,300,inf
3,,115,300,inf
4,,120,300,inf
5,,125,300,inf
6,,130,300,inf
7,,135,300,inf
8,,140,300,inf
9,,145,300,inf
10,,150,300,inf
11,,155,300,inf
12,,160,300,inf
13,,165,300,inf
14,4.228868307126104,170,300,2477.2109589041097
15,3.4148646158232436,175,300,1980.1589041095897
16,2.7575998286659957,180,300,1573.8301369863013
17,,100,312,inf
18,,105,312,inf
19,,110,312,inf
20,,115,312,inf
21,,120,312,inf
22,,125,312,inf
23,,130,312,inf
24,,135,312,inf
25,,140,312,inf
26,,145,312,inf
27,,150,312,inf
28,,155,312,inf
29,,160,312,inf
30,2.2969803501706276,165,312,2176.7780821917813
31,5.069907877604933,170,312,960.3808219178076
32,4.177548937642117,175,312,773.8849315068487
33,3.435268778068367,180,312,621.6027397260274
34,,100,325,inf
35,,105,325,inf
36,,110,325,inf
37,,115,325,inf
38,,120,325,inf
39,,125,325,inf
40,,130,325,inf
41,,135,325,inf
42,,140,325,inf
43,,145,325,inf
44,,150,325,inf
45,1.4087948840383535,155,325,2224.912328767123
46,3.1032677626929956,160,325,1083.8082191780823
47,2.5994725694515664,165,325,848.7287671232876
48,2.1706609926388047,170,325,663.1424657534246
49,1.8085606516217154,175,325,516.7534246575344
50,1.5025891288621613,180,325,401.20547945205493
51,,100,337,inf
52,,105,337,inf
53,,110,337,inf
54,,115,337,inf
55,,120,337,inf
56,,125,337,inf
57,,130,337,inf
58,,135,337,inf
59,,140,337,inf
60,2.2938707376662326,145,337,1589.8109589041103
61,1.966806294229177,150,337,1213.3232876712325
62,1.6776160486117613,155,337,926.1424657534243
63,1.4246981366625562,160,337,706.5808219178081
64,1.1881526803563367,165,337,533.5068493150686
65,1.0163579419256417,170,337,409.86575342465767
66,0.8537692426560252,175,337,331.53424657534254
67,0.716072754437793,180,337,269.6246575342464
68,,100,350,inf
69,,105,350,inf
70,,110,350,inf
71,,115,350,inf
72,,120,350,inf
73,,125,350,inf
74,,130,350,inf
75,1.2837248773649625,135,350,1677.317808219178
76,1.1270298804897814,140,350,1247.4356164383564
77,0.9825465002322563,145,350,936.2109589041092
78,0.8518562791049182,150,350,739.9890410958898
79,0.7341783258013894,155,350,586.2821917808219
80,0.6294495136456675,160,350,465.0246575342467
81,0.537744550809419,165,350,369.0246575342467
82,0.4579478421261222,170,350,292.7150684931507
83,0.38904968811692237,175,350,231.94520547945197
