,drat,dT,Tf,LTE
0,,100.0,300,inf
1,,110.0,300,inf
2,,120.0,300,inf
3,,130.0,300,inf
4,,140.0,300,inf
5,,150.0,300,inf
6,,160.0,300,inf
7,,170.0,300,inf
8,,180.0,300,inf
9,,100.0,325,inf
10,,110.0,325,inf
11,,120.0,325,inf
12,,130.0,325,inf
13,,140.0,325,inf
14,,150.0,325,inf
15,,160.0,325,inf
16,,170.0,325,inf
17,0.0006108672958166937,180.0,325,898.1232876712322
18,,100.0,350,inf
19,,110.0,350,inf
20,,120.0,350,inf
21,,130.0,350,inf
22,,140.0,350,inf
23,,150.0,350,inf
24,0.00016172878300980723,160.0,350,1742.9698630136972
25,0.00016123728411518844,170.0,350,569.6438356164383
26,0.0002566194631706752,180.0,350,335.717808219178
27,,100.0,375,inf
28,,110.0,375,inf
29,,120.0,375,inf
30,,130.0,375,inf
31,,140.0,375,inf
32,3.6663340585076544e-05,150.0,375,1164.2904109589044
33,3.974605230977132e-05,160.0,375,368.61095890410974
34,0.00358235623664495,170.0,375,122.64931506849311
35,0.002529156901300179,180.0,375,44.24931506849313
36,,100.0,400,inf
37,,110.0,400,inf
38,,120.0,400,inf
39,4.438800367698403e-06,130.0,400,2116.7068493150673
40,7.799904542467036e-06,140.0,400,826.9945205479452
41,0.001681012941421278,150.0,400,257.85205479452037
42,0.0012790710977134145,160.0,400,86.04931506849317
43,0.000955015980490793,170.0,400,30.49041095890411
44,0.0007027489152538055,180.0,400,11.43013698630137
45,,100.0,425,inf
46,1.3561651387657724e-07,110.0,425,1603.3315068493139
47,0.00030687173967855084,120.0,425,882.1753424657534
48,0.0004999866602578116,130.0,425,491.712328767123
49,0.000546787742047743,140.0,425,192.1041095890411
50,0.0004474054900418018,150.0,425,62.616438356164345
51,0.0003557266014684278,160.0,425,21.868493150684916
52,0.0002706994169831476,170.0,425,7.923287671232872
53,0.00021179774158980102,180.0,425,3.15616438356164
54,1.871045223486296e-05,100.0,450,670.9260273972603
55,4.340954277599878e-05,110.0,450,379.8219178082193
56,8.414472815742552e-05,120.0,450,217.21095890410942
57,0.0001414712939498091,130.0,450,125.53972602739726
58,0.00015169749390182583,140.0,450,47.775342465753425
59,0.0001298383368278893,150.0,450,16.353424657534262
60,0.00010784935007947842,160.0,450,5.980821917808222
61,8.507165991136896e-05,170.0,450,2.257534246575342
62,6.976652235432641e-05,180.0,450,0.9424657534246622
63,5.280552645866369e-06,100.0,475,167.40547945205483
64,1.2634894990074432e-05,110.0,475,98.10410958904106
65,2.5247836943251266e-05,120.0,475,58.03835616438358
66,4.388500523738366e-05,130.0,475,34.8109589041096
67,4.424741559851679e-05,140.0,475,12.408219178082186
68,4.115198774144358e-05,150.0,475,4.619178082191774
69,3.545856143611193e-05,160.0,475,1.7643835616438321
70,3.0371941817739233e-05,170.0,475,0.7260273972602759
71,7.180272139910635e-05,180.0,475,0.3232876712328814
72,1.6380274074831137e-06,100.0,500,45.416438356164385
73,4.050609296922015e-06,110.0,500,27.643835616438338
74,8.414594901885386e-06,120.0,500,17.084931506849305
75,1.528330544074546e-05,130.0,500,10.761643835616438
76,1.5085603890696438e-05,140.0,500,3.723287671232874
77,1.4208393747237313e-05,150.0,500,1.4164383561643874
78,4.3109584530936285e-05,160.0,500,0.5863013698630172
79,3.66540359040301e-05,170.0,500,0.265753424657538
80,3.8354320540809694e-05,180.0,500,0.15616438356164797
