,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
0,50,275,0.00046885,2.2757077378611644e-129,2.4647504064051596e-19,inf,
1,60,275,0.00055577,8.447416331810996e-110,9.528264327662035e-18,inf,
2,70,275,0.00064358,1.1317386852715525e-94,2.336749337552227e-16,inf,
3,80,275,0.00073218,1.2097742956340671e-82,4.019767349789044e-15,inf,
4,90,275,0.00082154,7.32566644495975e-73,5.200004664804346e-14,inf,
5,100,275,0.00091161,9.12677433792312e-65,5.31921596582081e-13,inf,
6,110,275,0.00100238,5.732111240774863e-58,4.46727842473323e-12,inf,
7,120,275,0.00109383,3.4300686718025656e-52,3.1705010981168376e-11,inf,
8,130,275,0.00118595,3.1224886096795986e-47,1.7324117595390978e-10,inf,
9,140,275,0.00127863,6.0826510191985045e-43,3.9408804122530263e-10,inf,
10,150,275,0.00137181,3.3165055912836906e-39,8.779187408286368e-10,inf,
11,160,275,0.0014655,2.9282137678027353e-33,1.916063222857656e-09,inf,
12,170,275,0.00155971,1.4687738817155247e-30,4.098722589201222e-09,inf,
13,180,275,0.00165442,3.617888984368758e-28,8.596909985083474e-09,inf,
14,190,275,0.00174966,4.861309195051692e-26,1.7688254561900783e-08,inf,
15,200,275,0.0018454,3.871604903717753e-24,3.572089206241931e-08,inf,
16,210,275,0.00194166,1.9616829289507673e-22,7.002054958020727e-08,inf,
17,220,275,0.00203843,6.699736082580905e-21,1.3635236493512117e-07,inf,
18,230,275,0.00213571,1.6196763344415734e-19,2.610643593775835e-07,inf,
19,240,275,0.0022334,2.8807426583053933e-18,4.918130711408787e-07,inf,
20,250,275,0.00233146,3.90402012420821e-17,9.119713493969379e-07,inf,
21,260,275,0.00242988,4.1578443038533036e-16,1.664423621560512e-06,600808.9999999995,2.4980685505743047e-10
22,270,275,0.00253105,1.1300643293953084e-13,3.8621013332872165e-06,258927.00000000006,2.9260349014029037e-08
23,280,275,0.00264116,7.747904637238448e-13,9.264454019889057e-06,107940.00000000003,8.363045054360612e-08
24,290,275,0.0027538,4.552661404189206e-12,2.0226203898700782e-05,49440.99999999997,2.2508728909242545e-07
25,300,275,0.00286881,2.314609957066572e-11,4.1725728905140684e-05,23966.0,5.547200774679356e-07
26,50,300,0.00047577,1.3549376446704842e-127,7.520574642634978e-18,inf,
27,60,300,0.00056408,3.3838861737333445e-108,2.311509560586229e-16,inf,
28,70,300,0.00065327,3.2152567484500328e-93,4.638182044696845e-15,inf,
29,80,300,0.00074326,2.563641528986429e-81,6.67772262974491e-14,inf,
30,90,300,0.000834,1.199572466026246e-71,7.364102647877565e-13,inf,
31,100,300,0.00092546,1.1942824242374423e-63,6.5207609527154566e-12,inf,
32,110,300,0.00101756,6.092775885659329e-57,4.800580745023494e-11,inf,
33,120,300,0.0011102,2.979443601580066e-51,3.0161035681900386e-10,inf,
34,130,300,0.00120337,4.861655833479662e-43,1.3658494642666018e-09,inf,
35,140,300,0.00129706,4.3290346933875286e-39,2.9303500953494458e-09,inf,
36,150,300,0.00139127,1.1842489494050176e-35,6.171358482921934e-09,inf,
37,160,300,0.00148601,1.2152763993900794e-32,1.2762670590804356e-08,inf,
38,170,300,0.00158126,5.4655004472846896e-30,2.5925123784373316e-08,inf,
39,180,300,0.00167703,1.2222474832489166e-27,5.173798225987733e-08,inf,
40,190,300,0.00177333,1.5051862038950654e-25,1.0148702097185337e-07,inf,
41,200,300,0.00187014,1.1081432064155431e-23,1.957600564600951e-07,inf,
42,210,300,0.00196742,5.217041948111389e-22,3.7151183823890905e-07,inf,
43,220,300,0.00206507,1.658582841606037e-20,6.939818633834953e-07,inf,
44,230,300,0.00216309,3.741596148580099e-19,1.2765202592751672e-06,783379.9999999995,2.9310902991109983e-13
