,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
0,50,275,0.0004648,1.9867595803044837e-130,2.010212016943489e-19,inf,
1,60,275,0.00055277,2.1783240961010808e-110,8.114662147909961e-18,inf,
2,70,275,0.00064165,5.7506816409504835e-95,2.05191570426916e-16,inf,
3,80,275,0.00073137,9.646390411846455e-83,3.609231888016546e-15,inf,
4,90,275,0.00082185,7.860636229161531e-73,4.746856881175957e-14,inf,
5,100,275,0.00091305,1.1964107185806148e-64,4.916908453081051e-13,inf,
6,110,275,0.00100496,8.606477777156248e-58,4.169347100408357e-12,inf,
7,120,275,0.00109756,5.643755721246974e-52,2.981274534783402e-11,inf,
8,130,275,0.00119083,5.452323587317444e-47,1.5640853704403331e-10,inf,
9,140,275,0.0012847,1.1062721161743846e-42,3.5461761072390547e-10,inf,
10,150,275,0.00137908,6.180753159709175e-39,7.871894369015618e-10,inf,
11,160,275,0.00147397,5.296572025185237e-33,1.711618158619101e-09,inf,
12,170,275,0.00156936,2.6578523323169384e-30,3.6475833122802818e-09,inf,
13,180,275,0.00166526,6.513925474017397e-28,7.624063070034522e-09,inf,
14,190,275,0.00176166,8.657241365547356e-26,1.5491000319590808e-08,inf,
15,200,275,0.00185858,6.805557206310352e-24,3.15396917277639e-08,inf,
16,210,275,0.001956,3.393513286060987e-22,6.242374255525593e-08,inf,
17,220,275,0.00205393,1.1390115235322175e-20,1.2142787776922918e-07,inf,
18,230,275,0.00215236,2.7029029806311236e-19,2.322975968102077e-07,inf,
19,240,275,0.00225123,4.720854903868742e-18,4.3719770328110424e-07,inf,
20,250,275,0.00235049,6.283969223132762e-17,8.101505523648293e-07,inf,
21,260,275,0.00245009,6.569538044828768e-16,1.4783094520812939e-06,676449.0000000002,4.443953216682472e-10
22,270,275,0.00255728,1.8214916527730988e-13,3.755720311035079e-06,266260.99999999977,4.8499129379287955e-08
23,280,275,0.00267306,1.3042383683238975e-12,8.852385450111686e-06,112963.99999999994,1.4733185486262832e-07
24,290,275,0.00279046,7.790491066028786e-12,1.9336732740559183e-05,51715.0,4.028855945083254e-07
25,300,275,0.00291004,3.981675637759453e-11,3.978160861892278e-05,25138.0,1.0008835177835174e-06
26,50,300,0.00047175,1.276849848294313e-128,6.2185726750516836e-18,inf,
27,60,300,0.00056111,9.14604434443422e-109,1.9908053047424378e-16,inf,
