,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
0,50,275,0.00044942,2.163223314171469e-243,4.891607000944349e-21,inf,
1,60,275,0.00053379,4.263556323959356e-203,5.10995834845574e-20,inf,
2,70,275,0.00061878,2.3718771703742928e-172,4.543802318214565e-19,inf,
3,80,275,0.00070428,3.473581558217681e-148,3.552373849524178e-18,inf,
4,90,275,0.00079023,9.542807661335984e-129,2.4927504640959633e-17,inf,
5,100,275,0.0008766,8.107270336814085e-113,1.592457080040598e-16,inf,
6,110,275,0.00096336,1.4413617717032996e-99,9.358398567860928e-16,inf,
7,120,275,0.0010505,2.0842002224517087e-88,5.09987195723653e-15,inf,
8,130,275,0.00113801,6.575991550009144e-79,2.5936302604008702e-14,inf,
9,140,275,0.00122614,9.944304584396785e-71,1.2388642093193203e-13,inf,
10,150,275,0.00131518,1.3002858077421663e-63,5.593033259107114e-13,inf,
11,160,275,0.00140516,2.205521161854305e-57,2.396636836076334e-12,inf,
12,170,275,0.00149605,6.6401520210144e-52,9.777016762463648e-12,inf,
13,180,275,0.00158785,4.590410982451956e-47,3.807628337609945e-11,inf,
14,190,275,0.00168054,8.969856166468826e-43,1.418996204732517e-10,inf,
15,200,275,0.00177412,5.892529820936554e-39,5.071981381988137e-10,inf,
16,210,275,0.00186857,1.50060774470902e-35,1.7422778483394147e-09,inf,
17,220,275,0.0019639,1.6733187111103085e-32,5.762557833813002e-09,inf,
18,230,275,0.00206009,9.035394299800933e-30,1.8384886456714936e-08,inf,
19,240,275,0.00215679,2.5279112323321805e-27,5.6610160769899705e-08,inf,
20,250,275,0.0022535,3.874860146044446e-25,1.681560730961944e-07,inf,
21,260,275,0.00234993,3.4668252824945935e-23,4.819514824693375e-07,inf,
22,270,275,0.00244608,1.9385370661555875e-21,1.3346685090462015e-06,749250.0000000002,1.4524483443015604e-15
23,280,275,0.00254195,7.178398136369706e-20,3.576232977735113e-06,279623.99999999977,2.007251256017415e-14
24,290,275,0.00263758,1.851739497345345e-18,9.28648020393099e-06,107683.99999999997,1.9940165236786908e-13
25,300,275,0.00273297,3.4699987449856326e-17,2.3398437986497333e-05,42738.0,1.4830044411460645e-12
26,50,300,0.00045353,3.9177846040506595e-241,1.515783282029609e-19,inf,
27,60,300,0.00053854,3.728848351194154e-201,1.3641888094676634e-18,inf,
28,70,300,0.00062417,1.184643836579419e-170,1.0569752189831736e-17,inf,
29,80,300,0.00071031,1.1098797973475516e-146,7.268413196136893e-17,inf,
30,90,300,0.0007969,2.1147670594672586e-127,4.522780836892262e-16,inf,
31,100,300,0.00088392,1.3278420144005548e-111,2.580609993766207e-15,inf,
32,110,300,0.00097142,1.876609321550195e-98,1.363690292856519e-14,inf,
33,120,300,0.0010598,2.5291386678761555e-87,6.73898428895693e-14,inf,
34,130,300,0.00114913,8.33061595584136e-78,3.135292923904192e-13,inf,
35,140,300,0.00123939,1.3306268468054982e-69,1.3795007113673009e-12,inf,
36,150,300,0.00133056,1.7470022655697786e-62,5.761508552255044e-12,inf,
37,160,300,0.00142262,2.8502499374268747e-56,2.2915058496081727e-11,inf,
38,170,300,0.00151557,8.045733572077386e-51,8.703651960021195e-11,inf,
39,180,300,0.00160938,5.10836251318283e-46,3.16501984557164e-10,inf,
40,190,300,0.00170407,9.080193728254025e-42,1.1044751819384148e-09,inf,
41,200,300,0.00179961,5.380979752512668e-38,3.7063333403595398e-09,inf,
42,210,300,0.0018959,1.2230283420494213e-34,1.1980312941672725e-08,inf,
43,220,300,0.00199238,1.164632517849822e-31,3.7288608762244266e-08,inf,
44,230,300,0.00208861,5.093061044975002e-29,1.1173686652398049e-07,inf,
45,240,300,0.00218457,1.1370064044526843e-26,3.2275113407453836e-07,inf,
46,250,300,0.00228026,1.4169607269601158e-24,9.002089668050474e-07,inf,
47,260,300,0.00237569,1.0629570602866582e-22,2.428610254845644e-06,411759.0000000001,4.376812039584412e-17
48,270,300,0.0024709,5.121049776585833e-21,6.346936285596287e-06,157557.00000000006,8.068538183071923e-16
49,280,300,0.00256587,1.6700324798979216e-19,1.608999496539612e-05,62151.000000000015,1.0379322575858914e-14
50,290,300,0.00266065,3.865305266717057e-18,3.960526176866904e-05,25249.999999999993,9.759575102151769e-14
51,300,300,0.00275522,6.597675458563876e-17,9.468342041339999e-05,10562.0,6.968142289069805e-13
52,50,325,0.00045697,2.8598905138558137e-239,3.574910111684664e-18,inf,
53,60,325,0.00054265,1.6897215262383861e-199,2.8183944503854883e-17,inf,
54,70,325,0.00062894,3.589303937959442e-169,1.931313636899422e-16,inf,
55,80,325,0.00071577,2.440963002951129e-145,1.1841104972728149e-15,inf,
56,90,325,0.0008034,4.134822959861457e-126,6.627783451201483e-15,inf,
57,100,325,0.00089202,2.7836870836829914e-110,3.435445874338896e-14,inf,
58,110,325,0.00098161,4.539127606287078e-97,1.6634453902816776e-13,inf,
59,120,325,0.00107212,6.459386704441536e-86,7.571908712102616e-13,inf,
60,130,325,0.00116353,2.0741165555024183e-76,3.256653962953314e-12,inf,
61,140,325,0.00125583,3.072519621720742e-68,1.3289828735728375e-11,inf,
62,150,325,0.001349,3.62385977849032e-61,5.1640992767478696e-11,inf,
63,160,325,0.00144303,5.2151560133491954e-55,1.9166072169076295e-10,inf,
64,170,325,0.00153793,1.2865149821292364e-49,6.812729131804216e-10,inf,
65,180,325,0.00163368,7.115178214033587e-45,2.3249279936253805e-09,inf,
66,190,325,0.00172987,1.0578825350496296e-40,7.623044993179597e-09,inf,
67,200,325,0.00182592,4.89227504444457e-37,2.4002150594245166e-08,inf,
68,210,325,0.00192168,8.29212149236709e-34,7.264264621888816e-08,inf,
69,220,325,0.00201718,5.9758524907965435e-31,2.1173251911373697e-07,inf,
70,230,325,0.00211244,2.0665743585175623e-28,5.955477618049722e-07,inf,
71,240,325,0.00220745,3.7843613357937224e-26,1.6195143376899474e-06,617469.9999999995,2.336726046644133e-20
72,250,325,0.00230226,3.996328263118826e-24,4.263869468459724e-06,234528.99999999994,9.37253894069711e-19
73,260,325,0.00239686,2.6067807060079944e-22,1.0886412079591133e-05,91858.0,2.3945269451033848e-17
74,270,325,0.00249128,1.115175853491417e-20,2.6981470504535616e-05,37063.0,4.133117404790649e-16
75,280,325,0.00258553,3.289756769025583e-19,6.494576389710838e-05,15397.999999999993,5.0653908301663e-15
76,290,325,0.00268025,7.123274563915873e-18,0.000151857993704925,6585.999999999996,4.6907471843445366e-14
77,300,325,0.00277625,1.1947949225230708e-16,0.000344665087779,2901.999999999999,3.4665388659531883e-13
78,50,350,0.00046041,1.976783874797669e-237,6.667360157532715e-17,inf,
79,60,350,0.00054692,8.423737768143524e-198,4.669405296364764e-16,inf,
80,70,350,0.00063459,1.9228632339397777e-167,2.8779541261057095e-15,inf,
81,80,350,0.00072333,1.6423434352489186e-143,1.6042201893364116e-14,inf,
82,90,350,0.00081306,3.159657764326868e-124,8.2225183166578e-14,inf,
83,100,350,0.00090373,2.065158876341002e-108,3.9191357480190795e-13,inf,
84,110,350,0.0009953,2.966103176300659e-95,1.7513004172047427e-12,inf,
85,120,350,0.00108777,3.5634806011467285e-84,7.382753903707152e-12,inf,
86,130,350,0.00118111,9.42474993539066e-75,2.950573437818879e-11,inf,
87,140,350,0.00127532,1.138981676645145e-66,1.1224762653612419e-10,inf,
88,150,350,0.0013704,1.0971933928721741e-59,4.0785748211124003e-10,inf,
89,160,350,0.00146619,1.2695534831549997e-53,1.4189566889008163e-09,inf,
90,170,350,0.00156202,2.3110114650687905e-48,4.725689183888837e-09,inf,
91,180,350,0.00165757,8.7085355883302e-44,1.507395337691996e-08,inf,
92,190,350,0.00175286,8.794955040027486e-40,4.6152396988735494e-08,inf,
93,200,350,0.00184791,2.9254486218613967e-36,1.3595603031323684e-07,inf,
94,210,350,0.00194274,3.785464803370104e-33,3.861730947814434e-07,inf,
95,220,350,0.00203736,2.1813896714171207e-30,1.0597907378557089e-06,943583.0000000002,2.058321132180076e-24
96,230,350,0.00213178,6.2584593383391195e-28,2.8144685362226648e-06,355307.0,2.223673584476691e-22
97,240,350,0.00222603,9.818498090405533e-26,7.244835033825776e-06,138029.99999999994,1.3552410847953684e-20
98,250,350,0.00232011,9.096864889065116e-24,1.809729498145807e-05,55257.000000000044,5.026643428415951e-19
99,260,350,0.00241425,5.3626124596490445e-22,4.390924459432861e-05,22775.000000000007,1.2212946292275062e-17
100,270,350,0.00250937,2.1935674797082992e-20,0.00010364608931114999,9649.000000000004,2.116401587640336e-16
101,280,350,0.00260638,6.648937144518153e-19,0.000238017881474775,4201.999999999996,2.7934611901092837e-15
102,290,350,0.00270555,1.5396074213945048e-17,0.000528941113256625,1891.0000000000007,2.910735019093775e-14
103,300,350,0.00280689,2.1581654189735466e-10,0.001182540908224125,845.999999999999,1.8250238989318019e-07
104,50,375,0.00046535,7.891704708102271e-235,1.0221345153136299e-15,inf,
105,60,375,0.00055388,4.401537759901923e-195,6.492583852371653e-15,inf,
106,70,375,0.00064353,9.204926091875406e-165,3.6506183204272874e-14,inf,
107,80,375,0.0007342,6.068741662060657e-141,1.8649524595692448e-13,inf,
108,90,375,0.00082584,8.461914738294622e-122,8.79856419288451e-13,inf,
109,100,375,0.00091839,3.9075786278605535e-106,3.875923343985971e-12,inf,
110,110,375,0.00101185,4.002016777735474e-93,1.606876743579592e-11,inf,
111,120,375,0.00110619,3.4559374616619694e-82,6.306931523170833e-11,inf,
112,130,375,0.00120139,6.67753887633327e-73,2.354513544683889e-10,inf,
113,140,375,0.00129692,5.468449663100884e-65,8.375232160942444e-10,inf,
114,150,375,0.00139223,3.1706545919770498e-58,2.839524191701833e-09,inf,
115,160,375,0.00148729,2.1175501878238954e-52,9.198570656696465e-09,inf,
116,170,375,0.00158211,2.384960041173544e-47,2.855719693006016e-08,inf,
117,180,375,0.00167672,6.11694925556167e-43,8.519154110447359e-08,inf,
118,190,375,0.00177114,4.5279257982389355e-39,2.448031784102809e-07,inf,
119,200,375,0.00186538,1.169079154447282e-35,6.790703939722428e-07,inf,
120,210,375,0.00195945,1.2281031966889318e-32,1.8216822453109608e-06,548944.0000000002,6.741588440300656e-27
121,220,375,0.00205337,5.959693191542516e-30,4.7337819545963915e-06,211247.99999999988,1.2589707867207092e-24
122,230,375,0.00214717,1.4847513179027427e-27,1.1932600467254431e-05,83805.00000000003,1.2442814305039485e-22
123,240,375,0.00224155,2.143851329687809e-25,2.9238457557184345e-05,34201.999999999985,7.332299679266192e-21
124,250,375,0.00233751,1.996573782246649e-23,6.98263940836711e-05,14322.000000000011,2.8593396643885237e-19
125,260,375,0.00243561,1.2765688576209154e-21,0.00016254045424357502,6153.000000000002,7.853853144201955e-18
126,270,375,0.00253584,5.765544563207515e-20,0.000366646131221025,2727.9999999999973,1.5725093140917056e-16
127,280,375,0.00263821,1.4816640535895997e-11,0.0008194237931033249,1220.9999999999986,1.8081779734247597e-08
128,290,375,0.00274276,8.26024831482856e-11,0.001764734184363075,566.9999999999985,4.680732309727335e-08
129,300,375,0.00284958,3.9447991284578175e-10,0.0035520172241038503,281.9999999999993,1.1105799548742513e-07
130,50,400,0.00047326,9.239083201357357e-231,1.3380045319881406e-14,inf,
131,60,400,0.00056364,2.2698380825179058e-191,7.74068737449265e-14,inf,
132,70,400,0.00065515,2.234562283263958e-161,3.9888349985923724e-13,inf,
133,80,400,0.00074767,7.404350539110177e-138,1.8773915743552002e-12,inf,
134,90,400,0.00084115,5.551297395590076e-119,8.19783797168619e-12,inf,
135,100,400,0.00093556,1.4834776970812459e-103,3.3561048418505254e-11,inf,
136,110,400,0.00103065,8.714265235057532e-91,1.2967849332131786e-10,inf,
137,120,400,0.00112565,3.684433585929258e-80,4.73804030914615e-10,inf,
138,130,400,0.00122043,3.1939105065885547e-71,1.642371318786369e-09,inf,
139,140,400,0.00131499,1.258712318281301e-63,5.423825958950461e-09,inf,
140,150,400,0.00140936,4.10733784426272e-57,1.7128106155314738e-08,inf,
141,160,400,0.00150356,1.7484429855082095e-51,5.1886933166397434e-08,inf,
142,170,400,0.0015976,1.3792725991183823e-46,1.5119595330080804e-07,inf,
143,180,400,0.0016915,2.660877944293428e-42,4.2482153908386334e-07,inf,
144,190,400,0.00178526,1.563270622268598e-38,1.1533687512910349e-06,867026.0000000002,1.355395332601768e-32
145,200,400,0.00187889,3.342235589374071e-35,3.0303938381963055e-06,329990.9999999999,1.102904694184362e-29
146,210,400,0.00197267,3.0633400919168223e-32,7.722264676896897e-06,129496.00000000006,3.9668934180429966e-27
147,220,400,0.00206766,1.43811470557075e-29,1.915518305549415e-05,52205.999999999985,7.507705363109361e-25
148,230,400,0.00216472,3.902346885192698e-27,4.639827177117372e-05,21553.000000000007,8.410543617741266e-23
149,240,400,0.0022639,6.443755267841122e-25,0.0001096324308015,9121.999999999993,5.8775995576602295e-21
150,250,400,0.00236518,5.667487466573141e-14,0.0002513168269929,3980.000000000001,2.2551165930219447e-10
151,260,400,0.00246857,5.731280673581073e-13,0.000556158936044625,1799.0000000000025,1.0305112985042835e-09
152,270,400,0.0025741,4.660149398761097e-12,0.001235430872218125,810.0000000000007,3.772084301563666e-09
153,280,400,0.00268187,3.110944920007405e-11,0.0025241875240490253,396.9999999999984,1.2324539640450988e-08
154,290,400,0.00279199,1.7368541354199927e-10,0.004686937399964325,214.00000000000128,3.705733589343892e-08
155,300,400,0.00290465,8.251852090837544e-10,0.00748040518791945,134.00000000000162,1.1031290262409782e-07
156,50,425,0.00048236,3.196861064167252e-226,1.4911416359406928e-13,inf,
157,60,425,0.00057458,2.4283309376909526e-187,7.908676818370724e-13,inf,
158,70,425,0.00066793,8.903959469112708e-158,3.759365861640096e-12,inf,
159,80,425,0.00076225,1.2490946690371155e-134,1.640254322246458e-11,inf,
160,90,425,0.00085683,3.393987144006301e-116,6.645571785079554e-11,inf,
161,100,425,0.00095124,2.806348627039743e-101,2.518338576867402e-10,inf,
162,110,425,0.00104548,5.319018223194687e-89,8.994994898360727e-10,inf,
163,120,425,0.00113958,9.440042514480601e-79,3.047059884690849e-09,inf,
164,130,425,0.00123353,4.2554315399401386e-70,9.83727565544945e-09,inf,
165,140,425,0.00132737,1.0245887061956893e-62,3.0387936531762526e-08,inf,
166,150,425,0.00142109,2.2838676588992074e-56,9.01102538504463e-08,inf,
167,160,425,0.0015147,7.209959008064405e-51,2.572174423124502e-07,inf,
168,170,425,0.00160819,4.479852312075921e-46,7.084512208706987e-07,inf,
169,180,425,0.0017016,7.145928469312149e-42,1.8864978975140941e-06,530082.9999999995,3.787933439379177e-36
170,190,425,0.00179575,3.8676338168898505e-38,4.874012426936463e-06,205169.99999999988,7.935215338219466e-33
171,200,425,0.00189179,8.962148097850937e-35,1.2280336270650097e-05,81430.99999999997,7.297966358845073e-30
172,210,425,0.00198995,9.895489018645474e-32,3.023264686512559e-05,33076.99999999997,3.273113684948395e-27
173,220,425,0.0020902,5.598893658350628e-29,7.262177078361564e-05,13770.000000000004,7.70966281589736e-25
174,230,425,0.00219252,6.003704162489207e-16,0.000169411141574025,5902.9999999999945,3.543866186549401e-12
175,240,425,0.00229692,1.0484136097131994e-14,0.00037976203011974997,2634.0000000000027,2.760712042177055e-11
176,250,425,0.00240341,1.3772451043337045e-13,0.0008536796926197001,1172.0000000000005,1.6133042829065445e-10
177,260,425,0.00251209,1.4022722519599858e-12,0.00177498934987335,563.9999999999991,7.900172764755133e-10
178,270,425,0.00262307,1.1359017434225372e-11,0.0033634638637922995,297.9999999999993,3.3771783774772293e-09
179,280,425,0.00273641,7.483068543352605e-11,0.005498047582301175,182.0000000000015,1.3610410661852822e-08
180,290,425,0.00285227,4.093814286868383e-10,0.007256218770116625,137.99999999999991,5.6418010765165856e-08
181,300,425,0.00297068,1.8909635891167356e-09,0.00735977107410765,135.999999999999,2.5693239233613106e-07
182,50,450,0.00049149,8.196867997984878e-222,1.4201604403806457e-12,inf,
183,60,450,0.00058522,1.5017565855090803e-183,6.944604306831967e-12,inf,
184,70,450,0.00067902,9.429132608712131e-155,3.040365377446223e-11,inf,
185,80,450,0.00077279,2.2866717589984945e-132,1.219987447584865e-10,inf,
186,90,450,0.00086651,1.5961561798435492e-114,4.5566608431214904e-10,inf,
187,100,450,0.00096018,5.176142182748013e-100,1.6006746241836305e-09,inf,
188,110,450,0.00105378,5.051689748428059e-88,5.32734925599315e-09,inf,
