,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
0,50,275,0.00047386,4.9466569613671354e-08,2.675915999750296e-16,inf,
1,60,275,0.00056108,1.4987078464191263e-08,2.7939650610257606e-15,inf,
2,70,275,0.00064913,7.454288932800712e-09,2.2836938716927276e-14,inf,
3,80,275,0.00073794,5.0515497047082234e-09,1.5385126236381998e-13,inf,
4,90,275,0.00082744,4.184584053336875e-09,8.855530819396519e-13,inf,
5,100,275,0.0009176,3.963625372383768e-09,4.470056582780798e-12,inf,
6,110,275,0.0010084,4.113188380068778e-09,2.0179591959087752e-11,inf,
7,120,275,0.00109983,4.545883651965029e-09,8.27171447960636e-11,inf,
8,130,275,0.00119186,5.248477891377639e-09,3.115771923907913e-10,inf,
9,140,275,0.00128449,6.24603739457182e-09,1.0889573852145886e-09,inf,
10,150,275,0.00137773,7.589679855924456e-09,3.559850170628078e-09,inf,
11,160,275,0.0014717,2.7034289937183523e-08,1.0058975541112087e-08,inf,
12,170,275,0.00156651,3.7281542506071927e-08,1.9159948049461236e-08,inf,
13,180,275,0.00166217,5.1643907553163954e-08,3.585520309997357e-08,inf,
14,190,275,0.00175856,7.156514016155721e-08,6.582079310289312e-08,inf,
15,200,275,0.00185554,9.889432796467442e-08,1.1883505730025297e-07,991195.0000000002,0.8321982604409777
16,210,275,0.0019532,1.3605828474591893e-07,2.1122710082741432e-07,696499.9999999995,0.6441327093585734
17,220,275,0.00205166,1.8617868037087774e-07,3.701467580782262e-07,488817.99999999977,0.5029861164731072
18,230,275,0.00215119,2.5334439415366816e-07,6.39604556009879e-07,342500.9999999999,0.39609535575252397
19,240,275,0.00225184,3.4260847940607195e-07,1.0955511654346007e-06,239291.0,0.3127270457242045
20,250,275,0.00235312,4.5955804274557334e-07,1.8555050290222844e-06,166902.99999999988,0.24767275515697568
21,260,275,0.00245488,6.110196741186335e-07,3.1063583474104173e-06,116205.0,0.19669967395358734
22,270,275,0.00255724,8.054790247341512e-07,5.134077453515847e-06,80754.00000000003,0.15688875596969312
23,280,275,0.00266033,1.0531307609478404e-06,8.377857265094701e-06,56004.000000000015,0.12570407057847338
24,290,275,0.00276425,1.3660359683038574e-06,1.3453774606211211e-05,38838.000000000015,0.10153551759914269
25,300,275,0.00286904,1.7581773451063713e-06,2.1338067739531776e-05,26909.999999999978,0.08239627723409558
26,50,300,0.00048008,4.4399959447177106e-08,4.239970286383409e-15,inf,
27,60,300,0.00056855,1.3898037412014327e-08,3.862028723600095e-14,inf,
28,70,300,0.00065786,7.091199918654746e-09,2.791911214678988e-13,inf,
29,80,300,0.00074793,4.904390412857185e-09,1.682181339622811e-12,inf,
30,90,300,0.00083868,4.1302880626258835e-09,8.740362978097131e-12,inf,
31,100,300,0.0009301,3.965378985881526e-09,4.0142743700522494e-11,inf,
32,110,300,0.00102215,4.161217421341677e-09,1.660104341642469e-10,inf,
33,120,300,0.00111483,4.641965122632721e-09,6.271271759674045e-10,inf,
34,130,300,0.00120818,1.1763354220549495e-08,2.18908806572906e-09,inf,
35,140,300,0.00130234,1.5560455174394367e-08,7.129955713554597e-09,inf,
36,150,300,0.00139736,2.110539350107652e-08,2.1832338487508478e-08,inf,
37,160,300,0.0014932,2.906715675916808e-08,5.250216727105767e-08,inf,
38,170,300,0.00158965,4.0339946579739464e-08,9.507259279825462e-08,inf,
39,180,300,0.00168674,5.614027556357435e-08,1.69581661241668e-07,inf,
40,190,300,0.00178458,7.809672465085845e-08,2.9813390993662005e-07,998997.0000000007,0.2619518345546837
41,200,300,0.00188328,1.0835534753069221e-07,5.172711183572039e-07,670031.0000000002,0.2094749613603343
42,210,300,0.00198322,1.4984523698647028e-07,8.872832806139056e-07,447250.0,0.1688809428289839
43,220,300,0.00208397,2.0596882375535413e-07,1.507518444801778e-06,297510.0000000001,0.13662773047028073
44,230,300,0.00218518,2.808401644950744e-07,2.533168790536911e-06,197600.00000000006,0.11086516048366032
45,240,300,0.00228691,3.797169835207612e-07,4.2044360422052336e-06,131202.00000000006,0.09031341652223089
46,250,300,0.00238937,5.092369487264872e-07,6.891122783812987e-06,87152.0,0.07389752943056935
47,260,300,0.00249264,6.773883194585984e-07,1.1127339425631862e-05,58060.0,0.06087603635944027
48,270,300,0.00259681,8.938483514112024e-07,1.7734102216923487e-05,38792.000000000015,0.05040279685307167
49,280,300,0.00270184,1.1698558036777264e-06,2.789894532319156e-05,26023.000000000007,0.04193190065522872
50,290,300,0.00280764,1.518317822986292e-06,4.345604749874135e-05,17507.0,0.03493916060889496
51,300,300,0.00291404,1.953582687484045e-06,6.682837446685685e-05,11846.999999999993,0.029232832656327933
52,50,325,0.00048619,4.008796411002315e-08,5.395622461044784e-14,inf,
53,60,325,0.00057587,1.2950627721632614e-08,4.3482885122293465e-13,inf,
54,70,325,0.00066641,6.771526484757676e-09,2.8152758460021284e-12,inf,
55,80,325,0.00075768,4.775890198779628e-09,1.5342426533103982e-11,inf,
56,90,325,0.00084965,4.085763584383395e-09,7.26967893715791e-11,inf,
57,100,325,0.00094229,3.97332312128994e-09,3.0664374262363684e-10,inf,
58,110,325,0.00103573,7.866127727641552e-09,1.172601896386699e-09,inf,
59,120,325,0.00113003,9.581228940019446e-09,4.122218741213102e-09,inf,
60,130,325,0.00122519,1.2345711484101632e-08,1.3462808844364121e-08,inf,
61,140,325,0.00132106,1.6500071133362454e-08,4.116469550642842e-08,inf,
62,150,325,0.00141754,2.2559283547381153e-08,1.1858962588803231e-07,inf,
63,160,325,0.00151473,3.126456489577402e-08,2.429018381242356e-07,inf,
64,170,325,0.00161273,4.364154154363912e-08,4.222957985070558e-07,inf,
65,180,325,0.00171178,6.111349461972263e-08,7.247901819812681e-07,784429.9999999998,0.084318877571802
66,190,325,0.00181189,8.555831767639483e-08,1.2344327128960362e-06,498888.9999999999,0.06930982692095955
67,200,325,0.0019125,1.1922718944852307e-07,2.079406480102983e-06,317214.0000000001,0.05733712508322005
68,210,325,0.00201359,1.6508434991806674e-07,3.463086670780348e-06,202068.00000000006,0.047669713643311094
69,220,325,0.00211535,2.2698927756795184e-07,5.6960111657396376e-06,129218.0,0.03985056752227712
70,230,325,0.00221794,3.0983215407169e-07,9.248366428786545e-06,83079.00000000003,0.03350128441140738
71,240,325,0.00232143,4.1966850773111695e-07,1.4792197933145206e-05,53853.0,0.028370936464469317
72,250,325,0.0024258,5.638366546612652e-07,2.337416666156312e-05,35150.999999999985,0.02412221418735958
73,260,325,0.002531,7.511275178631865e-07,3.650788956343003e-05,23111.999999999993,0.020574388901833184
74,270,325,0.00263684,9.916047894943226e-07,5.64584801166845e-05,15294.999999999996,0.017563434003978536
75,280,325,0.00274317,1.296863383801578e-06,8.6343538717125e-05,10203.0,0.01501980811847782
76,290,325,0.00285,1.680602425142194e-06,0.0001304902798002,6868.000000000004,0.012879138796509947
77,300,325,0.00295757,2.1596379703986314e-06,0.00019449604659360002,4674.999999999996,0.011103762817920923
78,50,350,0.00049228,3.634379766962453e-08,5.676492620587867e-13,inf,
79,60,350,0.00058318,1.210699150043452e-08,4.094997953210079e-12,inf,
80,70,350,0.00067492,6.48456087198434e-09,2.3995819833229963e-11,inf,
81,80,350,0.00076747,8.441506687028867e-09,1.194539406189739e-10,inf,
82,90,350,0.00086094,7.04632835135778e-09,5.215652642468047e-10,inf,
83,100,350,0.00095531,7.092095812820362e-09,2.0421547549238483e-09,inf,
84,110,350,0.00105052,8.075839949691028e-09,7.287293655079411e-09,inf,
85,120,350,0.00114636,9.975063701599566e-09,2.397405172308545e-08,inf,
86,130,350,0.00124287,1.2996430560852213e-08,7.346032700686362e-08,inf,
87,140,350,0.00134017,1.753182870500421e-08,2.1150902956805935e-07,inf,
88,150,350,0.00143835,2.4175593325061285e-08,5.763231297380566e-07,inf,
89,160,350,0.00153771,3.380128811299547e-08,1.0215171789251522e-06,754303.0,0.033089299730192916
90,170,350,0.00163773,4.752185892810426e-08,1.7219972929528063e-06,465182.9999999999,0.027596941715637563
91,180,350,0.00173819,6.681894270120721e-08,2.8735198350638304e-06,287778.99999999977,0.023253343124991145
92,190,350,0.00183924,9.370112820192366e-08,4.738451180081938e-06,179155.0,0.019774631971686447
93,200,350,0.00194114,1.3085568648537875e-07,7.721811981074432e-06,112365.99999999994,0.016946240960812823
94,210,350,0.00204393,1.8170718081052246e-07,1.2396576883551037e-05,71266.0,0.01465785131794156
95,220,350,0.00214762,2.506012796953107e-07,1.9662923127262984e-05,45624.0,0.012744863928590948
96,230,350,0.00225216,3.429319980665253e-07,3.080756512250243e-05,29504.000000000007,0.011131421672011376
97,240,350,0.00235744,4.6524597754194553e-07,4.779713924780903e-05,19237.0,0.009733761996295037
98,250,350,0.00246331,6.25324600484591e-07,7.322945042600055e-05,12681.999999999993,0.008539250217595048
99,260,350,0.00256961,8.322567672659332e-07,0.00011137833045127499,8412.999999999993,0.007472340121223339
100,270,350,0.0026765,1.0973575460665717e-06,0.0001668238133811,5659.999999999998,0.006577943063558424
101,280,350,0.00278442,1.4351298676977723e-06,0.000245288450811525,3873.0000000000027,0.005850784506770352
102,290,350,0.00289343,1.8619362738560635e-06,0.0003505870572069,2722.9999999999973,0.0053109099026357855
103,300,350,0.00300355,2.39673267198315e-06,0.00047899486781715,1997.9999999999995,0.00500367088045309
104,50,375,0.0004984,3.305384188966308e-08,5.041487050303437e-12,inf,
105,60,375,0.00059068,3.079722685760114e-08,3.2940017495211405e-11,inf,
106,70,375,0.00068403,1.2661350363937945e-08,1.768268930704721e-10,inf,
107,80,375,0.00077837,8.162154769552511e-09,8.134089232446803e-10,inf,
108,90,375,0.00087348,6.988289395289999e-09,3.2974902495770125e-09,inf,
109,100,375,0.00096925,7.181636646774723e-09,1.2025615456167752e-08,inf,
110,110,375,0.00106581,8.315054584024296e-09,4.012537448108737e-08,inf,
111,120,375,0.00116323,1.0414981466440212e-08,1.2408179401411838e-07,inf,
112,130,375,0.00126166,1.3741638347205957e-08,3.5933984754646697e-07,inf,
113,140,375,0.00136104,1.8747843689638714e-08,9.828710486658034e-07,868355.9999999995,0.019074571089552333
114,150,375,0.00146086,2.6067147761753063e-08,2.413187377223731e-06,377673.99999999977,0.010801957613313146
115,160,375,0.00156124,3.661844653957881e-08,3.982126246518523e-06,231928.00000000012,0.009195702062834757
116,170,375,0.00166242,5.1687835666286826e-08,6.496194390712253e-06,143650.00000000006,0.007956633154356652
117,180,375,0.00176451,7.301117671981859e-08,1.0465077363931964e-05,89911.0,0.006976649496300202
118,190,375,0.00186749,1.028713312353903e-07,1.663711708633254e-05,56939.000000000015,0.006183242607572891
119,200,375,0.00197133,1.4423821196173709e-07,2.6137465395263428e-05,36448.999999999985,0.00551844678818305
120,210,375,0.002076,2.0091787669509895e-07,4.0631794366263236e-05,23563.000000000007,0.004944843805911805
121,220,375,0.00218129,2.7756368656304237e-07,6.251238735816838e-05,15382.999999999993,0.00444013895954293
122,230,375,0.0022871,3.7992734537962994e-07,9.524663618947499e-05,10136.0,0.003988879403823113
123,240,375,0.00239343,5.150835868574086e-07,0.000143237675550825,6762.999999999996,0.003596006322195878
124,250,375,0.00250062,6.921885401702816e-07,0.00021245592819592497,4572.999999999996,0.0032580335415820995
125,260,375,0.00260888,9.224113100946139e-07,0.000307188515143575,3169.9999999999964,0.0030027532431135765
126,270,375,0.00271827,1.2190138196971942e-06,0.0004233406718283,2302.9999999999973,0.0028795102876191547
127,280,375,0.00282878,1.5975670336696953e-06,0.0005628044935959749,1732.9999999999986,0.0028385825839133292
128,290,375,0.00294052,2.0768620149820123e-06,0.00067305301801965,1446.0,0.0030857331582775514
129,300,375,0.00304859,2.6496430535100348e-06,0.001226480975481075,800.0,0.0021603621307462496
130,50,400,0.00050536,1.3385001306910454e-07,3.8830687377546834e-11,inf,
131,60,400,0.00059936,2.7627049907830036e-08,2.3225968998826396e-10,inf,
132,70,400,0.00069419,1.1858871996976135e-08,1.147510499139267e-09,inf,
133,80,400,0.00078987,7.90922167392027e-09,4.883253929016402e-09,inf,
134,90,400,0.00088643,6.951465938087861e-09,1.8433707955889725e-08,inf,
135,100,400,0.00098393,7.296453890874283e-09,6.303836844857757e-08,inf,
136,110,400,0.00108253,8.603271139635315e-09,1.985489634292261e-07,inf,
137,120,400,0.00118169,1.0936681133173445e-08,5.817170029454327e-07,inf,
138,130,400,0.00128139,1.4587221651871407e-08,1.598630510931708e-06,578062.9999999998,0.009124823748903515
139,140,400,0.00138184,2.005876867209641e-08,4.154975758878789e-06,230654.0,0.004827649987904917
140,150,400,0.00148318,2.8100329966703912e-08,8.943613575488258e-06,108736.99999999994,0.0031419436595201767
141,160,400,0.00158543,3.976391480465919e-08,1.4220709422225272e-05,68593.99999999994,0.002796197687754799
142,170,400,0.00168857,5.6490026687395255e-08,2.2373658331324412e-05,43702.999999999985,0.0025248453270740245
143,180,400,0.00179256,8.021076986474385e-08,3.481502281785193e-05,28140.000000000022,0.0023039126036021027
144,190,400,0.00189726,1.1343657592030605e-07,5.366481279799234e-05,18286.999999999985,0.0021137980364770753
145,200,400,0.00200256,1.5939320758219797e-07,8.1832816715775e-05,12009.999999999996,0.0019477908005514316
146,210,400,0.00210833,2.2212576850911145e-07,0.000123686430448875,7957.0000000000055,0.0017958782358176771
