,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
0,50,275,0.00046707,9.571353316988257e-11,8.894115783779595e-23,inf,
1,60,275,0.000554,1.4249656205359243e-10,2.0227436835901567e-21,inf,
2,70,275,0.00064172,2.0767866520901424e-10,3.3418518663104084e-20,inf,
3,80,275,0.00073016,2.967203436074348e-10,4.291413183880423e-19,inf,
4,90,275,0.00081927,4.1632538079673105e-10,4.488629572001132e-18,inf,
5,100,275,0.00090902,5.746621824657664e-10,3.9558133268530985e-17,inf,
6,110,275,0.00099939,7.816061294963138e-10,3.012945184556866e-16,inf,
7,120,275,0.00109037,1.0490303825118515e-09,2.022507968098998e-15,inf,
8,130,275,0.00118195,1.3911051838559926e-09,1.2152304160171775e-14,inf,
9,140,275,0.00127394,1.8237016001233933e-09,6.611399132220334e-14,inf,
10,150,275,0.00136623,2.365328425980172e-09,3.2879281553052497e-13,inf,
11,160,275,0.00145881,3.0378893125903357e-09,1.5080995846104026e-12,inf,
12,170,275,0.00155172,3.867221344356681e-09,6.4294405025931765e-12,inf,
13,180,275,0.00164496,4.882959531433743e-09,2.56440156388394e-11,inf,
14,190,275,0.00173853,6.119246841937573e-09,9.622480310080663e-11,inf,
15,200,275,0.00183243,7.615284289828668e-09,3.4133080955682753e-10,inf,
16,210,275,0.00192667,9.41614379948646e-09,1.1494474886305344e-09,inf,
17,220,275,0.00202125,1.1573132980512321e-08,3.688508494582923e-09,inf,
18,230,275,0.00211615,1.4144058840844994e-08,1.1315933272718687e-08,inf,
19,240,275,0.00221139,1.7195584181553393e-08,3.3287810644631664e-08,inf,
20,250,275,0.00230697,2.0802714470984838e-08,9.414954944006153e-08,inf,
21,260,275,0.00240292,2.505160696547958e-08,2.5666109359353247e-07,inf,
22,270,275,0.00249923,3.0037903220484065e-08,6.758603793064565e-07,802194.9999999998,0.044443947507779455
23,280,275,0.0025959,3.5869625724369744e-08,1.6349146347084005e-06,431697.99999999977,0.021939754506367464
24,290,275,0.00269293,4.266809264757218e-08,3.2176750112772125e-06,248240.00000000012,0.013260535168415176
25,300,275,0.00279032,5.0569291402183464e-08,6.235092492808235e-06,138967.99999999988,0.008110431635218207
26,50,300,0.00047312,9.848346923400519e-11,4.121238630457023e-21,inf,
27,60,300,0.00056125,1.4713775186029583e-10,7.802555868537756e-20,inf,
28,70,300,0.00065019,2.1510404401312727e-10,1.0924473312479714e-18,inf,
29,80,300,0.00073984,3.0813842900925023e-10,1.2062685984022332e-17,inf,
30,90,300,0.00083016,4.333465226289036e-10,1.0981827185662014e-16,inf,
31,100,300,0.00092112,5.993880079085952e-10,8.512048481373241e-16,inf,
32,110,300,0.00101263,8.165548499816664e-10,5.751002165285997e-15,inf,
33,120,300,0.00110447,1.096580058596525e-09,3.4446319390277246e-14,inf,
34,130,300,0.00119662,1.453683569928264e-09,1.8564486760637922e-13,inf,
35,140,300,0.00128911,1.9048088618904084e-09,9.115136321963749e-13,inf,
36,150,300,0.00138194,2.469717568520887e-09,4.118682881168623e-12,inf,
37,160,300,0.00147511,3.1714606936864252e-09,1.7269611732404275e-11,inf,
38,170,300,0.00156862,4.0368108230951475e-09,6.766653864919337e-11,inf,
39,180,300,0.00166248,5.096863825570416e-09,2.492419584617675e-10,inf,
40,190,300,0.00175667,6.3870940554053744e-09,8.674623248598617e-10,inf,
41,200,300,0.00185121,7.948786801840861e-09,2.8654922875146034e-09,inf,
42,210,300,0.00194607,9.82834371388827e-09,9.018675590210296e-09,inf,
43,220,300,0.00204128,1.2079892071839844e-08,2.7138885350147958e-08,inf,
44,230,300,0.00213686,1.4765158888942878e-08,7.83277140802847e-08,inf,
45,240,300,0.0022328,1.7953516590713453e-08,2.1742373813379622e-07,inf,
46,250,300,0.0023291,2.1723818486514663e-08,5.818793642503997e-07,inf,
47,260,300,0.00242576,2.616520393063528e-08,1.5047061946176911e-06,499539.99999999977,0.017388912217034647
48,270,300,0.00252278,3.13782135220148e-08,3.766587924373298e-06,229212.00000000006,0.008330673318142613
49,280,300,0.00262016,3.747600522709101e-08,8.632337427277357e-06,107017.00000000003,0.004341350826795815
50,290,300,0.00271789,4.4584896682017474e-08,1.6331697209800168e-05,58211.99999999997,0.0027299610144170075
51,300,300,0.00281599,5.284881414265423e-08,3.0440670013792064e-05,31802.000000000007,0.0017361251943110807
52,50,325,0.00047921,1.0133977691569012e-10,1.4199696238113349e-19,inf,
53,60,325,0.00056856,1.5194423741059649e-10,2.279170631020545e-18,inf,
54,70,325,0.00065871,2.2279405722925835e-10,2.7490528966586613e-17,inf,
55,80,325,0.00074955,3.1995510456973023e-10,2.648990684579546e-16,inf,
56,90,325,0.00084086,4.5062826795210023e-10,2.1233142900649775e-15,inf,
57,100,325,0.00093252,6.234845501824303e-10,1.4589277823934474e-14,inf,
58,110,325,0.00102454,8.490929014539444e-10,8.799362925030542e-14,inf,
59,120,325,0.00111693,1.1400796128828615e-09,4.743777457974802e-13,inf,
60,130,325,0.00120968,1.5113531489434425e-09,2.318505627491247e-12,inf,
61,140,325,0.00130278,1.980457484605703e-09,1.0390574206154234e-11,inf,
62,150,325,0.00139623,2.56799490063849e-09,4.3097805545195386e-11,inf,
63,160,325,0.00149003,3.298008665605762e-09,1.667272390539386e-10,inf,
64,170,325,0.00158418,4.198437553056514e-09,6.055030370683943e-10,inf,
65,180,325,0.00167868,5.301618222429948e-09,2.07577704175323e-09,inf,
66,190,325,0.00177351,6.644528669648619e-09,6.749305592975571e-09,inf,
67,200,325,0.00186871,8.27057920787058e-09,2.0902152617403632e-08,inf,
68,210,325,0.00196428,1.0229045207044366e-08,6.188334820184167e-08,inf,
69,220,325,0.00206021,1.2575973304345488e-08,1.7570873545060823e-07,inf,
70,230,325,0.0021565,1.5375389782239875e-08,4.798186064669021e-07,inf,
71,240,325,0.00225315,1.8700040133080584e-08,1.2633527951940078e-06,617797.9999999998,0.014801914559589742
