heliostat_id,sigma_x,sigma_y,amplitude,x_locations,y_locations,x_normal,y_normal
0,4.362927451154023,4.197495620628111,0.8847895052795833,-645.236109,871.012645,33.35119518048918,10.8
1,4.363301878944852,5.015574217970151,0.8684500817081068,-137.896988,-251.883725,51.02872753821603,10.8
2,4.36374045452179,4.197728219219964,0.8640655751274549,708.401319,599.837089,20.06274749355474,10.8
3,4.364245731228785,4.1743478404367265,0.8614018361096455,718.23025,678.369895,20.541610470351465,10.8
4,4.235052643352849,4.168760520909233,0.9533412652891111,-738.826406,608.585286,35.506078591898685,10.8
5,4.364820071009569,4.6337520188706085,0.8579321846853695,347.997288,-128.960645,10.730377728970907,10.8
6,4.235139973286264,4.130605155578209,0.9517243960943397,324.118312,1106.806625,25.210524522102794,10.8
7,4.365465609199242,4.27631612378281,0.8536605253085794,-607.862752,95.863316,40.206450390673155,10.8
8,4.2352757078510805,4.11948407644464,0.9492606355514865,-354.024167,1097.606703,30.478017301265865,10.8
9,4.366184250333356,4.683163180910953,0.848592172980007,-302.20627,-168.623124,46.07826679475987,10.8
10,4.235463312588751,4.563944925786411,0.9459512767354357,364.923542,-119.465746,11.070261286159159,10.8
11,4.366977616049683,4.135377457050897,0.8448370751540042,691.868398,618.833646,20.302178985216152,10.8
12,4.235706194269262,4.135142184065544,0.9417986787531727,-765.067146,472.634211,36.70323603946076,10.8
13,4.367847035401816,4.112324648408546,0.8408364917886417,-736.368552,658.636291,35.146931353675654,10.8
14,4.236007703612172,4.2455781946784565,0.9393741737773186,-591.186506,77.128317,40.44195784500093,10.8
15,4.368793506653713,4.110853046481298,0.8360294971709891,-724.412822,580.399022,35.62579433820011,10.8
16,4.236371080791291,4.315084914389949,0.9364903672455311,-506.610818,-1.875036,41.619495136028675,10.8
17,4.369817663788207,4.117617284099386,0.830423267229532,-750.414628,387.835004,37.37714098082384,10.8
18,4.10825699696535,4.065535658128576,1.0342687769634988,497.843748,1001.740237,23.654219841114354,10.8
19,4.236799466866445,4.665200032473628,0.9327506177967153,-270.854312,-195.205363,47.09791743174413,10.8
20,4.370919742126625,4.80481038371696,0.8253296795803535,-184.149667,-236.019998,49.60194148632875,10.8
21,4.108213527709049,4.225693688537576,1.0330913090896336,-573.956854,59.353303,40.67746530453195,10.8
22,4.237295873864926,4.053709510031593,0.9281585114112821,-524.835457,987.866207,32.034321987213865,10.8
23,4.372099544618948,4.093927633209434,0.8207329041044342,734.981321,416.341881,18.410656573294624,10.8
24,4.108205925395677,4.925220509451805,1.031200365194109,-91.492883,-259.291676,52.45551359989698,10.8
25,4.237863145620573,4.038140814895697,0.9244040232707899,293.97389,1115.191884,25.449956011789745,10.8
