dT,Tf,LTE
347.2413793,388.7931034,0.238356164
358.6206897,388.7931034,0.224657534
370,388.7931034,0.216438356
40,399.137931,inf
51.37931034,399.137931,inf
62.75862069,399.137931,inf
74.13793103,399.137931,inf
85.51724138,399.137931,inf
96.89655172,399.137931,inf
108.2758621,399.137931,inf
119.6551724,399.137931,inf
131.0344828,399.137931,1641.945205
142.4137931,399.137931,842.0356164
153.7931034,399.137931,453.1671233
165.1724138,399.137931,250.4191781
176.5517241,399.137931,141.2246575
187.9310345,399.137931,81.41643836
199.3103448,399.137931,48.2
210.6896552,399.137931,29.31780822
222.0689655,399.137931,18.96164384
233.4482759,399.137931,13.65205479
244.8275862,399.137931,13.63287671
256.2068966,399.137931,5.167123288
267.5862069,399.137931,1.649315068
278.9655172,399.137931,0.857534247
290.3448276,399.137931,0.539726027
301.7241379,399.137931,0.391780822
313.1034483,399.137931,0.320547945
324.4827586,399.137931,0.279452055
335.862069,399.137931,0.254794521
347.2413793,399.137931,0.238356164
358.6206897,399.137931,0.22739726
370,399.137931,0.21369863
40,409.4827586,inf
51.37931034,409.4827586,inf
62.75862069,409.4827586,inf
74.13793103,409.4827586,inf
85.51724138,409.4827586,inf
96.89655172,409.4827586,inf
108.2758621,409.4827586,inf
119.6551724,409.4827586,2122.676712
131.0344828,409.4827586,728.7506849
142.4137931,409.4827586,393.9369863
153.7931034,409.4827586,219.2849315
165.1724138,409.4827586,125.1150685
176.5517241,409.4827586,73.30958904
187.9310345,409.4827586,45.01369863
199.3103448,409.4827586,28.4630137
210.6896552,409.4827586,19.54246575
222.0689655,409.4827586,14.94246575
233.4482759,409.4827586,12.8630137
244.8275862,409.4827586,8.978082192
256.2068966,409.4827586,3.347945205
267.5862069,409.4827586,1.4
278.9655172,409.4827586,0.791780822
290.3448276,409.4827586,0.528767123
301.7241379,409.4827586,0.408219178
313.1034483,409.4827586,0.345205479
324.4827586,409.4827586,0.309589041
335.862069,409.4827586,0.284931507
347.2413793,409.4827586,0.268493151
358.6206897,409.4827586,0.252054795
370,409.4827586,0.238356164
40,419.8275862,inf
51.37931034,419.8275862,inf
62.75862069,419.8275862,inf
74.13793103,419.8275862,inf
85.51724138,419.8275862,inf
96.89655172,419.8275862,inf
108.2758621,419.8275862,inf
119.6551724,419.8275862,1295.276712
131.0344828,419.8275862,457.430137
142.4137931,419.8275862,251.4849315
153.7931034,419.8275862,141.5863014
165.1724138,419.8275862,81.69315068
176.5517241,419.8275862,48.54794521
187.9310345,419.8275862,30.57260274
199.3103448,419.8275862,19.89589041
210.6896552,419.8275862,14.51506849
222.0689655,419.8275862,12.33150685
233.4482759,419.8275862,12.33972603
244.8275862,419.8275862,6.578082192
256.2068966,419.8275862,2.443835616
267.5862069,419.8275862,1.221917808
278.9655172,419.8275862,0.747945205
290.3448276,419.8275862,0.526027397
301.7241379,419.8275862,0.432876712
313.1034483,419.8275862,0.383561644
324.4827586,419.8275862,0.350684932
335.862069,419.8275862,0.331506849
347.2413793,419.8275862,0.287671233
358.6206897,419.8275862,0.304109589
370,419.8275862,0.273972603
40,430.1724138,inf
51.37931034,430.1724138,inf
62.75862069,430.1724138,inf
74.13793103,430.1724138,inf
85.51724138,430.1724138,inf
96.89655172,430.1724138,inf
108.2758621,430.1724138,inf
119.6551724,430.1724138,648.2684932
131.0344828,430.1724138,249.6575342
142.4137931,430.1724138,141.6438356
153.7931034,430.1724138,82.10136986
165.1724138,430.1724138,49.52328767
176.5517241,430.1724138,31.38082192
187.9310345,430.1724138,21.50136986
199.3103448,430.1724138,15.69863014
210.6896552,430.1724138,12.89863014
222.0689655,430.1724138,12.18082192
233.4482759,430.1724138,11.08767123
244.8275862,430.1724138,4.624657534
256.2068966,430.1724138,1.939726027
267.5862069,430.1724138,1.101369863
278.9655172,430.1724138,0.731506849
290.3448276,430.1724138,0.545205479
301.7241379,430.1724138,0.468493151
313.1034483,430.1724138,0.424657534
324.4827586,430.1724138,0.397260274
335.862069,430.1724138,0.345205479
347.2413793,430.1724138,0.320547945
358.6206897,430.1724138,0.350684932
370,430.1724138,0.309589041
40,440.5172414,inf
51.37931034,440.5172414,inf
62.75862069,440.5172414,inf
74.13793103,440.5172414,inf
85.51724138,440.5172414,inf
96.89655172,440.5172414,inf
108.2758621,440.5172414,1490.394521
119.6551724,440.5172414,359.3643836
131.0344828,440.5172414,146.4082192
142.4137931,440.5172414,84.82465753
153.7931034,440.5172414,50.22191781
165.1724138,440.5172414,31.4
176.5517241,440.5172414,21.0739726
187.9310345,440.5172414,15.71780822
199.3103448,440.5172414,13.25753425
210.6896552,440.5172414,12.96712329
222.0689655,440.5172414,14.29315068
233.4482759,440.5172414,9.506849315
244.8275862,440.5172414,3.290410959
256.2068966,440.5172414,1.616438356
267.5862069,440.5172414,1.019178082
278.9655172,440.5172414,0.736986301
290.3448276,440.5172414,0.589041096
301.7241379,440.5172414,0.517808219
313.1034483,440.5172414,0.471232877
324.4827586,440.5172414,0.402739726
335.862069,440.5172414,0.375342466
347.2413793,440.5172414,0.350684932
358.6206897,440.5172414,0.378082192
370,440.5172414,0.334246575
40,450.862069,inf
51.37931034,450.862069,inf
62.75862069,450.862069,inf
74.13793103,450.862069,inf
85.51724138,450.862069,inf
96.89655172,450.862069,inf
108.2758621,450.862069,945.4246575
119.6551724,450.862069,232.8383562
131.0344828,450.862069,98.68493151
142.4137931,450.862069,58.23561644
153.7931034,450.862069,35.31506849
165.1724138,450.862069,22.83013699
176.5517241,450.862069,16.02465753
187.9310345,450.862069,12.66575342
199.3103448,450.862069,11.76438356
210.6896552,450.862069,13.2739726
222.0689655,450.862069,16.97534247
233.4482759,450.862069,7.989041096
244.8275862,450.862069,2.561643836
256.2068966,450.862069,1.397260274
267.5862069,450.862069,0.953424658
278.9655172,450.862069,0.747945205
290.3448276,450.862069,0.638356164
301.7241379,450.862069,0.575342466
313.1034483,450.862069,0.482191781
324.4827586,450.862069,0.443835616
335.862069,450.862069,0.41369863
347.2413793,450.862069,0.383561644
358.6206897,450.862069,0.408219178
370,450.862069,0.361643836
40,461.2068966,inf
51.37931034,461.2068966,inf
62.75862069,461.2068966,inf
74.13793103,461.2068966,inf
85.51724138,461.2068966,inf
96.89655172,461.2068966,1925.717808
108.2758621,461.2068966,434.9260274
119.6551724,461.2068966,113.6547945
131.0344828,461.2068966,53.48219178
142.4137931,461.2068966,33.61917808
153.7931034,461.2068966,22.66849315
165.1724138,461.2068966,16.9260274
176.5517241,461.2068966,14.19726027
187.9310345,461.2068966,13.37534247
199.3103448,461.2068966,14.1260274
210.6896552,461.2068966,17.03561644
222.0689655,461.2068966,16.74246575
233.4482759,461.2068966,4.997260274
244.8275862,461.2068966,2.15890411
256.2068966,461.2068966,1.317808219
267.5862069,461.2068966,0.95890411
278.9655172,461.2068966,0.778082192
290.3448276,461.2068966,0.676712329
301.7241379,461.2068966,0.567123288
313.1034483,461.2068966,0.512328767
324.4827586,461.2068966,0.468493151
335.862069,461.2068966,0.446575342
347.2413793,461.2068966,0.419178082
358.6206897,461.2068966,0.430136986
370,461.2068966,0.397260274
40,471.5517241,inf
51.37931034,471.5517241,inf
62.75862069,471.5517241,inf
74.13793103,471.5517241,inf
85.51724138,471.5517241,inf
96.89655172,471.5517241,1231.430137
108.2758621,471.5517241,282.4273973
119.6551724,471.5517241,75.17534247
131.0344828,471.5517241,36.67945205
142.4137931,471.5517241,23.63013699
153.7931034,471.5517241,16.69041096
165.1724138,471.5517241,13.44657534
176.5517241,471.5517241,12.74520548
187.9310345,471.5517241,14.16986301
199.3103448,471.5517241,17.67945205
210.6896552,471.5517241,23.77534247
222.0689655,471.5517241,16.51506849
233.4482759,471.5517241,3.635616438
244.8275862,471.5517241,1.865753425
256.2068966,471.5517241,1.246575342
267.5862069,471.5517241,0.964383562
278.9655172,471.5517241,0.81369863
290.3448276,471.5517241,0.684931507
301.7241379,471.5517241,0.602739726
313.1034483,471.5517241,0.545205479
324.4827586,471.5517241,0.495890411
335.862069,471.5517241,0.487671233
347.2413793,471.5517241,0.457534247
358.6206897,471.5517241,0.449315068
370,471.5517241,0.44109589
40,481.8965517,inf
51.37931034,481.8965517,inf
62.75862069,481.8965517,inf
74.13793103,481.8965517,inf
85.51724138,481.8965517,inf
96.89655172,481.8965517,596.0164384
108.2758621,481.8965517,146.0986301
119.6551724,481.8965517,43.37808219
131.0344828,481.8965517,24.55890411
142.4137931,481.8965517,18.02465753
153.7931034,481.8965517,14.6739726
165.1724138,481.8965517,13.4
176.5517241,481.8965517,14.00273973
187.9310345,481.8965517,16.8739726
199.3103448,481.8965517,22.51780822
210.6896552,481.8965517,29.4739726
222.0689655,481.8965517,9.536986301
233.4482759,481.8965517,2.997260274
244.8275862,481.8965517,1.736986301
256.2068966,481.8965517,1.24109589
267.5862069,481.8965517,0.994520548
278.9655172,481.8965517,0.810958904
290.3448276,481.8965517,0.739726027
301.7241379,481.8965517,0.649315068
313.1034483,481.8965517,0.58630137
324.4827586,481.8965517,0.539726027
335.862069,481.8965517,0.534246575
347.2413793,481.8965517,0.512328767
358.6206897,481.8965517,0.498630137
370,481.8965517,0.498630137
40,492.2413793,inf
51.37931034,492.2413793,inf
62.75862069,492.2413793,inf
74.13793103,492.2413793,inf
85.51724138,492.2413793,1672.126027
96.89655172,492.2413793,353.3534247
108.2758621,492.2413793,89.44657534
119.6551724,492.2413793,28.22739726
131.0344828,492.2413793,17.66027397
142.4137931,492.2413793,14.50410959
153.7931034,492.2413793,13.77260274
165.1724138,492.2413793,14.83835616
176.5517241,492.2413793,17.60273973
187.9310345,492.2413793,22.52876712
199.3103448,492.2413793,30.03287671
210.6896552,492.2413793,33.2739726
222.0689655,492.2413793,5.852054795
233.4482759,492.2413793,2.602739726
244.8275862,492.2413793,1.668493151
256.2068966,492.2413793,1.263013699
267.5862069,492.2413793,1.04109589
278.9655172,492.2413793,0.821917808
290.3448276,492.2413793,0.802739726
301.7241379,492.2413793,0.706849315
313.1034483,492.2413793,0.638356164
324.4827586,492.2413793,0.6
335.862069,492.2413793,0.597260274
347.2413793,492.2413793,0.583561644
358.6206897,492.2413793,0.578082192
370,492.2413793,0.578082192
40,502.5862069,inf
51.37931034,502.5862069,inf
62.75862069,502.5862069,inf
74.13793103,502.5862069,inf
85.51724138,502.5862069,970.3753425
96.89655172,502.5862069,214.9643836
108.2758621,502.5862069,58.79178082
119.6551724,502.5862069,21.02739726
131.0344828,502.5862069,14.58356164
142.4137931,502.5862069,13.08493151
153.7931034,502.5862069,13.85753425
165.1724138,502.5862069,17.06849315
176.5517241,502.5862069,23.0109589
187.9310345,502.5862069,31.58356164
199.3103448,502.5862069,42.0739726
210.6896552,502.5862069,24.90136986
222.0689655,502.5862069,4.356164384
233.4482759,502.5862069,2.347945205
244.8275862,502.5862069,1.624657534
256.2068966,502.5862069,1.293150685
267.5862069,502.5862069,0.991780822
278.9655172,502.5862069,0.838356164
290.3448276,502.5862069,0.865753425
301.7241379,502.5862069,0.77260274
313.1034483,502.5862069,0.704109589
324.4827586,502.5862069,0.676712329
335.862069,502.5862069,0.676712329
347.2413793,502.5862069,0.676712329
358.6206897,502.5862069,0.676712329
370,502.5862069,0.569863014
40,512.9310345,inf
51.37931034,512.9310345,inf
62.75862069,512.9310345,inf
74.13793103,512.9310345,2646.443836
85.51724138,512.9310345,499.0520548
