34807.696245666186,34807.696245666186,34807.696245666186,35785.57529739495,35785.57529739495,35785.57529739495,41612.10782911019,41612.10782911019,41612.10782911019,42303.59195938471,42303.59195938471,42303.59195938471,51755.148372694435,51755.148372694435,51755.148372694435,52466.0441681506,52466.0441681506,52466.0441681506,75127.59859914734,75127.59859914734,75127.59859914734,78383.44937383241,78383.44937383241,78383.44937383241,78383.44937383241,78383.44937383241,78383.44937383241,75127.59859914734,75127.59859914734,75127.59859914734,52466.0441681506,52466.0441681506,52466.0441681506,51755.148372694435,51755.148372694435,51755.148372694435,42303.59195938471,42303.59195938471,42303.59195938471,41612.10782911019,41612.10782911019,41612.10782911019,35785.57529739495,35785.57529739495,35785.57529739495,34807.696245666186,34807.696245666186,34807.696245666186
104423.08873699856,104423.08873699856,104423.08873699856,107356.72589218484,107356.72589218484,107356.72589218484,124836.32348733056,124836.32348733056,124836.32348733056,126910.7758781541,126910.7758781541,126910.7758781541,155265.4451180833,155265.4451180833,155265.4451180833,157398.1325044518,157398.1325044518,157398.1325044518,225382.79579744206,225382.79579744206,225382.79579744206,235150.34812149723,235150.34812149723,235150.34812149723,235150.34812149723,235150.34812149723,235150.34812149723,225382.79579744206,225382.79579744206,225382.79579744206,157398.1325044518,157398.1325044518,157398.1325044518,155265.4451180833,155265.4451180833,155265.4451180833,126910.7758781541,126910.7758781541,126910.7758781541,124836.32348733056,124836.32348733056,124836.32348733056,107356.72589218484,107356.72589218484,107356.72589218484,104423.08873699856,104423.08873699856,104423.08873699856
174038.4812283309,174038.4812283309,174038.4812283309,178927.8764869747,178927.8764869747,178927.8764869747,208060.53914555092,208060.53914555092,208060.53914555092,211517.9597969235,211517.9597969235,211517.9597969235,258775.74186347215,258775.74186347215,258775.74186347215,262330.22084075294,262330.22084075294,262330.22084075294,375637.9929957367,375637.9929957367,375637.9929957367,391917.246869162,391917.246869162,391917.246869162,391917.246869162,391917.246869162,391917.246869162,375637.9929957367,375637.9929957367,375637.9929957367,262330.22084075294,262330.22084075294,262330.22084075294,258775.74186347215,258775.74186347215,258775.74186347215,211517.9597969235,211517.9597969235,211517.9597969235,208060.53914555092,208060.53914555092,208060.53914555092,178927.8764869747,178927.8764869747,178927.8764869747,174038.4812283309,174038.4812283309,174038.4812283309
243653.8737196633,243653.8737196633,243653.8737196633,250499.02708176465,250499.02708176465,250499.02708176465,291284.7548037713,291284.7548037713,291284.7548037713,296125.1437156929,296125.1437156929,296125.1437156929,362286.03860886104,362286.03860886104,362286.03860886104,367262.3091770542,367262.3091770542,367262.3091770542,525893.1901940315,525893.1901940315,525893.1901940315,548684.145616827,548684.145616827,548684.145616827,548684.145616827,548684.145616827,548684.145616827,525893.1901940315,525893.1901940315,525893.1901940315,367262.3091770542,367262.3091770542,367262.3091770542,362286.03860886104,362286.03860886104,362286.03860886104,296125.1437156929,296125.1437156929,296125.1437156929,291284.7548037713,291284.7548037713,291284.7548037713,250499.02708176465,250499.02708176465,250499.02708176465,243653.8737196633,243653.8737196633,243653.8737196633
313269.2662109957,313269.2662109957,313269.2662109957,322070.1776765545,322070.1776765545,322070.1776765545,374508.9704619917,374508.9704619917,374508.9704619917,380732.32763446233,380732.32763446233,380732.32763446233,465796.33535424987,465796.33535424987,465796.33535424987,472194.39751335536,472194.39751335536,472194.39751335536,676148.3873923261,676148.3873923261,676148.3873923261,705451.0443644917,705451.0443644917,705451.0443644917,705451.0443644917,705451.0443644917,705451.0443644917,676148.3873923261,676148.3873923261,676148.3873923261,472194.39751335536,472194.39751335536,472194.39751335536,465796.33535424987,465796.33535424987,465796.33535424987,380732.32763446233,380732.32763446233,380732.32763446233,374508.9704619917,374508.9704619917,374508.9704619917,322070.1776765545,322070.1776765545,322070.1776765545,313269.2662109957,313269.2662109957,313269.2662109957
382884.658702328,382884.658702328,382884.658702328,393641.32827134436,393641.32827134436,393641.32827134436,457733.186120212,457733.186120212,457733.186120212,465339.5115532317,465339.5115532317,465339.5115532317,569306.6320996387,569306.6320996387,569306.6320996387,577126.4858496565,577126.4858496565,577126.4858496565,826403.5845906207,826403.5845906207,826403.5845906207,862217.9431121564,862217.9431121564,862217.9431121564,862217.9431121564,862217.9431121564,862217.9431121564,826403.5845906207,826403.5845906207,826403.5845906207,577126.4858496565,577126.4858496565,577126.4858496565,569306.6320996387,569306.6320996387,569306.6320996387,465339.5115532317,465339.5115532317,465339.5115532317,457733.186120212,457733.186120212,457733.186120212,393641.32827134436,393641.32827134436,393641.32827134436,382884.658702328,382884.658702328,382884.658702328
452500.05119366036,452500.05119366036,452500.05119366036,465212.4788661343,465212.4788661343,465212.4788661343,540957.4017784324,540957.4017784324,540957.4017784324,549946.6954720011,549946.6954720011,549946.6954720011,672816.9288450276,672816.9288450276,672816.9288450276,682058.5741859578,682058.5741859578,682058.5741859578,976658.7817889155,976658.7817889155,976658.7817889155,1018984.8418598213,1018984.8418598213,1018984.8418598213,1018984.8418598213,1018984.8418598213,1018984.8418598213,976658.7817889155,976658.7817889155,976658.7817889155,682058.5741859578,682058.5741859578,682058.5741859578,672816.9288450276,672816.9288450276,672816.9288450276,549946.6954720011,549946.6954720011,549946.6954720011,540957.4017784324,540957.4017784324,540957.4017784324,465212.4788661343,465212.4788661343,465212.4788661343,452500.05119366036,452500.05119366036,452500.05119366036
503057.52586463356,503057.52586463356,503057.52586463356,509009.30109139194,509009.30109139194,509009.30109139194,601415.2037752747,601415.2037752747,601415.2037752747,609714.1527470219,609714.1527470219,609714.1527470219,748305.2795815675,748305.2795815675,748305.2795815675,749855.637142029,749855.637142029,749855.637142029,1085560.6948274716,1085560.6948274716,1085560.6948274716,1130444.4389254046,1130444.4389254046,1130444.4389254046,1130444.4389254046,1130444.4389254046,1130444.4389254046,1085560.6948274716,1085560.6948274716,1085560.6948274716,749855.637142029,749855.637142029,749855.637142029,748305.2795815675,748305.2795815675,748305.2795815675,609714.1527470219,609714.1527470219,609714.1527470219,601415.2037752747,601415.2037752747,601415.2037752747,509009.30109139194,509009.30109139194,509009.30109139194,503057.52586463356,503057.52586463356,503057.52586463356
502374.475659111,502374.475659111,502374.475659111,509981.4469107123,509981.4469107123,509981.4469107123,600361.3313157414,600361.3313157414,600361.3313157414,610756.4376701778,610756.4376701778,610756.4376701778,748069.3049214275,748069.3049214275,748069.3049214275,750030.6248792104,750030.6248792104,750030.6248792104,1083473.5984987575,1083473.5984987575,1083473.5984987575,1132141.258985611,1132141.258985611,1132141.258985611,1132141.258985611,1132141.258985611,1132141.258985611,1083473.5984987575,1083473.5984987575,1083473.5984987575,750030.6248792104,750030.6248792104,750030.6248792104,748069.3049214275,748069.3049214275,748069.3049214275,610756.4376701778,610756.4376701778,610756.4376701778,600361.3313157414,600361.3313157414,600361.3313157414,509981.4469107123,509981.4469107123,509981.4469107123,502374.475659111,502374.475659111,502374.475659111
501691.1958661348,501691.1958661348,501691.1958661348,510758.8050994552,510758.8050994552,510758.8050994552,599306.2046543818,599306.2046543818,599306.2046543818,611797.3773360497,611797.3773360497,611797.3773360497,747863.9415765584,747863.9415765584,747863.9415765584,750230.9844234136,750230.9844234136,750230.9844234136,1081707.8130630099,1081707.8130630099,1081707.8130630099,1133818.6677489816,1133818.6677489816,1133818.6677489816,1133818.6677489816,1133818.6677489816,1133818.6677489816,1081707.8130630099,1081707.8130630099,1081707.8130630099,750230.9844234136,750230.9844234136,750230.9844234136,747863.9415765584,747863.9415765584,747863.9415765584,611797.3773360497,611797.3773360497,611797.3773360497,599306.2046543818,599306.2046543818,599306.2046543818,510758.8050994552,510758.8050994552,510758.8050994552,501691.1958661348,501691.1958661348,501691.1958661348
